t_ms,raw,mv,val3,val4
110,205,196,0,0
111,197,189,0,0
112,199,191,0,0
113,207,198,0,0
114,203,194,0,0
115,204,195,0,0
116,202,193,0,0
117,203,194,0,0
118,204,195,0,0
119,195,187,0,0
120,198,190,0,0
121,198,190,0,0
122,203,194,0,0
123,197,189,0,0
124,203,194,0,0
125,205,196,0,0
126,196,188,0,0
127,2824,2683,0,0
128,2802,2663,0,0
129,207,198,0,0
130,198,190,0,0
131,195,187,0,0
132,199,191,0,0
133,206,197,0,0
134,208,199,0,0
135,198,190,0,0
136,202,193,0,0
137,199,191,0,0
138,201,193,0,0
139,205,196,0,0
140,198,190,0,0
141,202,193,0,0
142,203,194,0,0
143,204,195,0,0
144,206,197,0,0
145,204,195,0,0
146,201,193,0,0
147,202,193,0,0
148,203,194,0,0
149,206,197,0,0
150,203,194,0,0
151,204,195,0,0
152,205,196,0,0
153,204,195,0,0
154,206,197,0,0
155,198,190,0,0
156,203,194,0,0
157,204,195,0,0
158,197,189,0,0
159,200,192,0,0
160,2820,2680,0,0
161,2822,2682,0,0
162,203,194,0,0
163,202,193,0,0
164,201,193,0,0
165,200,192,0,0
166,203,194,0,0
167,205,196,0,0
168,203,194,0,0
169,202,193,0,0
170,203,194,0,0
171,203,194,0,0
172,201,193,0,0
173,204,195,0,0
174,203,194,0,0
175,199,191,0,0
176,204,195,0,0
177,202,193,0,0
178,201,193,0,0
179,202,193,0,0
180,203,194,0,0
181,200,192,0,0
182,204,195,0,0
183,202,193,0,0
184,201,193,0,0
185,200,192,0,0
186,202,193,0,0
187,199,191,0,0
188,200,192,0,0
189,197,189,0,0
190,199,191,0,0
191,200,192,0,0
192,207,198,0,0
193,196,188,0,0
194,2819,2679,0,0
195,203,194,0,0
196,210,201,0,0
197,202,193,0,0
198,199,191,0,0
199,199,191,0,0
200,202,193,0,0
201,206,197,0,0
202,199,191,0,0
203,205,196,0,0
204,204,195,0,0
205,197,189,0,0
206,206,197,0,0
207,203,194,0,0
208,205,196,0,0
209,205,196,0,0
210,198,190,0,0
211,205,196,0,0
212,201,193,0,0
213,204,195,0,0
214,203,194,0,0
215,204,195,0,0
216,202,193,0,0
217,196,188,0,0
218,200,192,0,0
219,207,198,0,0
220,208,199,0,0
221,201,193,0,0
222,207,198,0,0
223,197,189,0,0
224,208,199,0,0
225,205,196,0,0
226,195,187,0,0
227,2821,2681,0,0
228,206,197,0,0
229,198,190,0,0
230,201,193,0,0
231,201,193,0,0
232,204,195,0,0
233,205,196,0,0
234,202,193,0,0
235,204,195,0,0
236,198,190,0,0
237,203,194,0,0
238,202,193,0,0
239,199,191,0,0
240,202,193,0,0
241,200,192,0,0
242,203,194,0,0
243,199,191,0,0
244,201,193,0,0
245,204,195,0,0
246,187,179,0,0
247,198,190,0,0
248,202,193,0,0
249,206,197,0,0
250,209,200,0,0
251,201,193,0,0
252,197,189,0,0
253,197,189,0,0
254,201,193,0,0
255,203,194,0,0
256,200,192,0,0
257,205,196,0,0
258,201,193,0,0
259,201,193,0,0
260,2820,2680,0,0
261,2821,2681,0,0
262,199,191,0,0
263,198,190,0,0
264,204,195,0,0
265,200,192,0,0
266,196,188,0,0
267,202,193,0,0
268,204,195,0,0
269,202,193,0,0
270,202,193,0,0
271,197,189,0,0
272,201,193,0,0
273,203,194,0,0
274,207,198,0,0
275,210,201,0,0
276,205,196,0,0
277,204,195,0,0
278,201,193,0,0
279,206,197,0,0
280,205,196,0,0
281,204,195,0,0
282,207,198,0,0
283,206,197,0,0
284,204,195,0,0
285,203,194,0,0
286,204,195,0,0
287,205,196,0,0
288,202,193,0,0
289,205,196,0,0
290,206,197,0,0
291,208,199,0,0
292,202,193,0,0
293,200,192,0,0
294,2822,2682,0,0
295,196,188,0,0
296,203,194,0,0
297,198,190,0,0
298,203,194,0,0
299,203,194,0,0
300,195,187,0,0
301,207,198,0,0
302,203,194,0,0
303,205,196,0,0
304,197,189,0,0
305,195,187,0,0
306,205,196,0,0
307,188,180,0,0
308,206,197,0,0
309,202,193,0,0
310,198,190,0,0
311,194,186,0,0
312,199,191,0,0
313,200,192,0,0
314,209,200,0,0
315,197,189,0,0
316,201,193,0,0
317,198,190,0,0
318,197,189,0,0
319,203,194,0,0
320,207,198,0,0
321,204,195,0,0
322,200,192,0,0
323,199,191,0,0
324,201,193,0,0
325,216,207,0,0
326,201,193,0,0
327,2826,2685,0,0
328,205,196,0,0
329,205,196,0,0
330,205,196,0,0
331,199,191,0,0
332,203,194,0,0
333,206,197,0,0
334,202,193,0,0
335,203,194,0,0
336,201,193,0,0
337,206,197,0,0
338,204,195,0,0
339,199,191,0,0
340,207,198,0,0
341,202,193,0,0
342,202,193,0,0
343,208,199,0,0
344,199,191,0,0
345,203,194,0,0
346,200,192,0,0
347,206,197,0,0
348,203,194,0,0
349,201,193,0,0
350,200,192,0,0
351,203,194,0,0
352,206,197,0,0
353,206,197,0,0
354,200,192,0,0
355,198,190,0,0
356,201,193,0,0
357,203,194,0,0
358,198,190,0,0
359,201,193,0,0
360,2819,2679,0,0
361,2823,2683,0,0
362,199,191,0,0
363,201,193,0,0
364,206,197,0,0
365,204,195,0,0
366,199,191,0,0
367,198,190,0,0
368,206,197,0,0
