t_ms,raw,mv,val3,val4
455,3875,3681,0,0
456,3879,3685,0,0
457,3867,3674,0,0
458,3873,3679,0,0
459,3879,3685,0,0
460,3874,3680,0,0
461,3875,3681,0,0
462,3874,3680,0,0
463,3875,3681,0,0
464,3877,3683,0,0
465,3876,3682,0,0
466,3876,3682,0,0
467,3877,3683,0,0
468,3874,3680,0,0
469,3874,3680,0,0
470,3874,3680,0,0
471,3875,3681,0,0
472,3880,3686,0,0
473,3878,3684,0,0
474,3877,3683,0,0
475,3873,3679,0,0
476,3877,3683,0,0
477,3874,3680,0,0
478,3877,3683,0,0
479,3878,3684,0,0
480,3880,3686,0,0
481,3876,3682,0,0
482,3877,3683,0,0
483,3875,3681,0,0
484,3878,3684,0,0
485,3878,3684,0,0
486,3881,3687,0,0
487,3875,3681,0,0
488,3877,3683,0,0
489,3878,3684,0,0
490,3878,3684,0,0
491,3875,3681,0,0
492,3875,3681,0,0
493,3880,3686,0,0
494,3876,3682,0,0
495,3875,3681,0,0
496,3876,3682,0,0
497,3875,3681,0,0
498,3880,3686,0,0
499,3880,3686,0,0
500,3874,3680,0,0
501,3878,3684,0,0
502,3878,3684,0,0
503,3876,3682,0,0
504,3879,3685,0,0
505,3874,3680,0,0
506,3878,3684,0,0
507,3878,3684,0,0
508,3878,3684,0,0
509,3880,3686,0,0
510,3876,3682,0,0
511,3874,3680,0,0
512,3877,3683,0,0
513,3877,3683,0,0
514,3875,3681,0,0
515,3877,3683,0,0
516,3874,3680,0,0
517,3877,3683,0,0
518,3876,3682,0,0
519,3873,3679,0,0
520,3879,3685,0,0
521,3879,3685,0,0
522,3877,3683,0,0
523,3878,3684,0,0
524,3876,3682,0,0
525,3874,3680,0,0
526,3879,3685,0,0
527,3877,3683,0,0
528,3875,3681,0,0
529,3878,3684,0,0
530,3876,3682,0,0
531,3871,3678,0,0
532,3878,3684,0,0
533,3879,3685,0,0
534,3879,3685,0,0
535,3878,3684,0,0
536,3879,3685,0,0
537,3879,3685,0,0
538,3876,3682,0,0
539,3876,3682,0,0
540,3876,3682,0,0
541,3876,3682,0,0
542,3879,3685,0,0
543,3876,3682,0,0
544,3877,3683,0,0
545,3878,3684,0,0
546,3876,3682,0,0
547,3876,3682,0,0
548,3878,3684,0,0
549,3881,3687,0,0
550,3875,3681,0,0
551,3877,3683,0,0
552,3874,3680,0,0
553,3874,3680,0,0
554,3878,3684,0,0
555,3876,3682,0,0
556,3877,3683,0,0
557,3879,3685,0,0
558,3875,3681,0,0
559,3879,3685,0,0
560,3877,3683,0,0
561,3878,3684,0,0
562,3878,3684,0,0
563,3877,3683,0,0
564,3878,3684,0,0
565,3877,3683,0,0
566,3875,3681,0,0
567,3878,3684,0,0
568,3877,3683,0,0
569,3878,3684,0,0
570,3877,3683,0,0
571,3873,3679,0,0
572,3876,3682,0,0
573,3876,3682,0,0
574,3881,3687,0,0
575,3877,3683,0,0
576,3875,3681,0,0
577,3879,3685,0,0
578,3877,3683,0,0
579,3874,3680,0,0
580,3875,3681,0,0
581,3877,3683,0,0
582,3876,3682,0,0
583,3878,3684,0,0
