t_ms,raw,mv,val3,val4
110,3470,3296,0,0
111,3471,3297,0,0
112,3473,3299,0,0
113,3469,3295,0,0
114,3470,3296,0,0
115,3471,3297,0,0
116,3470,3296,0,0
117,3471,3297,0,0
118,3473,3299,0,0
119,3473,3299,0,0
120,3471,3297,0,0
121,3470,3296,0,0
122,3473,3299,0,0
123,3471,3297,0,0
124,3471,3297,0,0
125,3472,3298,0,0
126,3472,3298,0,0
127,3472,3298,0,0
128,3472,3298,0,0
129,3471,3297,0,0
130,3473,3299,0,0
131,3474,3300,0,0
132,3474,3300,0,0
133,3473,3299,0,0
134,3472,3298,0,0
135,3471,3297,0,0
136,3472,3298,0,0
137,3472,3298,0,0
138,3473,3299,0,0
139,3470,3296,0,0
140,3472,3298,0,0
141,3473,3299,0,0
142,3473,3299,0,0
143,3471,3297,0,0
144,3471,3297,0,0
145,3471,3297,0,0
146,3473,3299,0,0
147,3475,3301,0,0
148,3473,3299,0,0
149,3473,3299,0,0
150,3471,3297,0,0
151,3472,3298,0,0
152,3472,3298,0,0
153,3472,3298,0,0
154,3472,3298,0,0
155,3472,3298,0,0
156,3473,3299,0,0
157,3473,3299,0,0
158,3472,3298,0,0
159,3473,3299,0,0
160,3472,3298,0,0
161,3472,3298,0,0
162,3472,3298,0,0
163,3472,3298,0,0
164,3473,3299,0,0
165,3473,3299,0,0
166,3473,3299,0,0
167,3474,3300,0,0
168,3471,3297,0,0
169,3474,3300,0,0
170,3472,3298,0,0
171,3471,3297,0,0
172,3472,3298,0,0
173,3473,3299,0,0
174,3472,3298,0,0
175,3472,3298,0,0
176,3471,3297,0,0
177,3472,3298,0,0
178,3473,3299,0,0
179,3469,3295,0,0
180,3472,3298,0,0
181,3471,3297,0,0
182,3473,3299,0,0
183,3473,3299,0,0
184,3472,3298,0,0
185,3471,3297,0,0
186,3472,3298,0,0
187,3473,3299,0,0
188,3472,3298,0,0
189,3470,3296,0,0
190,3472,3298,0,0
191,3472,3298,0,0
192,3473,3299,0,0
193,3474,3300,0,0
194,3474,3300,0,0
195,3473,3299,0,0
196,3470,3296,0,0
197,3473,3299,0,0
198,3471,3297,0,0
199,3472,3298,0,0
200,3470,3296,0,0
201,3469,3295,0,0
202,3473,3299,0,0
203,3473,3299,0,0
204,3474,3300,0,0
205,3474,3300,0,0
206,3471,3297,0,0
207,3471,3297,0,0
208,3474,3300,0,0
209,3473,3299,0,0
210,3473,3299,0,0
211,3473,3299,0,0
212,3470,3296,0,0
213,3469,3295,0,0
214,3471,3297,0,0
215,3473,3299,0,0
216,3473,3299,0,0
217,3475,3301,0,0
218,3468,3295,0,0
219,3470,3296,0,0
220,3470,3296,0,0
221,3469,3295,0,0
222,3472,3298,0,0
223,3469,3295,0,0
224,3472,3298,0,0
225,3473,3299,0,0
226,3471,3297,0,0
227,3471,3297,0,0
228,3471,3297,0,0
229,3469,3295,0,0
230,3473,3299,0,0
231,3472,3298,0,0
232,3474,3300,0,0
233,3469,3295,0,0
234,3471,3297,0,0
235,3472,3298,0,0
236,3473,3299,0,0
237,3472,3298,0,0
238,3472,3298,0,0
239,3471,3297,0,0
240,3474,3300,0,0
241,3471,3297,0,0
242,3470,3296,0,0
243,3471,3297,0,0
244,3470,3296,0,0
245,3473,3299,0,0
246,3472,3298,0,0
247,3474,3300,0,0
248,3471,3297,0,0
249,3469,3295,0,0
250,3470,3296,0,0
251,3471,3297,0,0
252,3472,3298,0,0
253,3473,3299,0,0
254,3469,3295,0,0
255,3472,3298,0,0
256,3475,3301,0,0
257,3470,3296,0,0
258,3471,3297,0,0
259,3471,3297,0,0
260,3469,3295,0,0
261,3472,3298,0,0
262,3472,3298,0,0
263,3473,3299,0,0
264,3471,3297,0,0
265,3470,3296,0,0
266,3474,3300,0,0
267,3470,3296,0,0
268,3472,3298,0,0
269,3473,3299,0,0
270,3471,3297,0,0
