t_ms,raw,mv,val3,val4
469,0,0,0,0
469,4,5,0,0
470,16,17,0,0
471,0,0,0,0
472,3,4,0,0
473,0,0,0,0
474,10,11,0,0
475,2,3,0,0
476,0,0,0,0
477,6,7,0,0
478,8,9,0,0
479,6,7,0,0
480,0,0,0,0
481,9,10,0,0
482,6,7,0,0
483,0,0,0,0
484,1,0,0,0
485,0,0,0,0
486,2,3,0,0
487,8,9,0,0
488,8,9,0,0
489,1,0,0,0
490,9,10,0,0
491,7,8,0,0
492,3,4,0,0
493,2,3,0,0
494,14,15,0,0
495,6,7,0,0
496,4,5,0,0
497,3,4,0,0
498,0,0,0,0
499,0,0,0,0
500,7,8,0,0
501,1,0,0,0
502,9,10,0,0
503,0,0,0,0
504,10,11,0,0
505,1,0,0,0
506,0,0,0,0
507,3,4,0,0
508,5,6,0,0
509,4,5,0,0
510,4,5,0,0
511,10,11,0,0
512,3,4,0,0
513,2,3,0,0
514,9,10,0,0
515,1,0,0,0
516,6,7,0,0
517,11,12,0,0
518,0,0,0,0
519,4,5,0,0
520,7,8,0,0
521,2,3,0,0
522,0,0,0,0
523,1,0,0,0
524,0,0,0,0
525,6,7,0,0
526,3,4,0,0
527,1,0,0,0
528,0,0,0,0
529,10,11,0,0
530,4,5,0,0
531,9,10,0,0
532,4,5,0,0
533,3,4,0,0
534,5,6,0,0
535,2,3,0,0
536,5,6,0,0
537,0,0,0,0
538,0,0,0,0
539,1,0,0,0
540,2,3,0,0
541,9,10,0,0
542,8,9,0,0
543,9,10,0,0
544,3,4,0,0
545,2,3,0,0
546,5,6,0,0
547,10,11,0,0
548,4,5,0,0
549,3,4,0,0
550,9,10,0,0
551,1,0,0,0
552,7,8,0,0
553,5,6,0,0
554,0,0,0,0
555,3,4,0,0
556,4,5,0,0
557,9,10,0,0
558,1,0,0,0
559,9,10,0,0
560,1,0,0,0
561,3,4,0,0
562,4,5,0,0
563,1,0,0,0
564,0,0,0,0
565,10,11,0,0
566,0,0,0,0
567,3,4,0,0
568,2,3,0,0
569,7,8,0,0
570,9,10,0,0
571,2,3,0,0
572,0,0,0,0
573,8,9,0,0
574,6,7,0,0
575,2,3,0,0
576,12,13,0,0
577,4,5,0,0
578,2,3,0,0
579,0,0,0,0
580,13,14,0,0
581,3,4,0,0
582,1,0,0,0
583,5,6,0,0
584,0,0,0,0
585,8,9,0,0
586,2,3,0,0
587,4,5,0,0
588,1,0,0,0
589,3,4,0,0
590,6,7,0,0
591,5,6,0,0
592,0,0,0,0
593,6,7,0,0
594,6,7,0,0
595,9,10,0,0
596,11,12,0,0
597,4,5,0,0
598,2,3,0,0
599,15,16,0,0
600,6,7,0,0
601,0,0,0,0
602,1,0,0,0
603,11,12,0,0
604,2,3,0,0
605,3,4,0,0
606,3,4,0,0
607,0,0,0,0
608,3,4,0,0
609,6,7,0,0
610,7,8,0,0
611,0,0,0,0
612,9,10,0,0
613,3,4,0,0
614,11,12,0,0
615,4,5,0,0
616,3,4,0,0
617,1,0,0,0
618,10,11,0,0
619,0,0,0,0
620,2,3,0,0
621,7,8,0,0
622,0,0,0,0
623,2,3,0,0
624,7,8,0,0
625,10,11,0,0
626,0,0,0,0
627,9,10,0,0
628,3,4,0,0
629,6,7,0,0
630,2,3,0,0
631,15,16,0,0
632,1,0,0,0
633,11,12,0,0
634,4,5,0,0
635,4,5,0,0
636,7,8,0,0
637,13,14,0,0
638,4,5,0,0
639,0,0,0,0
640,3,4,0,0
641,0,0,0,0
642,2,3,0,0
643,0,0,0,0
644,5,6,0,0
645,5,6,0,0
646,0,0,0,0
647,6,7,0,0
648,3,4,0,0
649,3,4,0,0
650,1,0,0,0
651,11,12,0,0
652,2,3,0,0
653,0,0,0,0
654,13,14,0,0
655,0,0,0,0
656,6,7,0,0
657,8,9,0,0
658,4,5,0,0
659,4,5,0,0
660,3,4,0,0
661,0,0,0,0
662,5,6,0,0
663,10,11,0,0
664,2,3,0,0
665,13,14,0,0
666,6,7,0,0
667,6,7,0,0
668,0,0,0,0
669,7,8,0,0
670,4,5,0,0
671,7,8,0,0
672,1,0,0,0
673,9,10,0,0
674,2,3,0,0
675,1,0,0,0
676,6,7,0,0
677,8,9,0,0
678,0,0,0,0
679,1,0,0,0
680,3,4,0,0
681,6,7,0,0
682,6,7,0,0
683,9,10,0,0
684,4,5,0,0
685,3,4,0,0
686,7,8,0,0
687,0,0,0,0
688,7,8,0,0
689,6,7,0,0
690,4,5,0,0
