sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
0,193,0x0C1,,,0,512,raw,512
1,1795,0x703,engine_rpm,master,11415,0,rpm,49027051683840
2,1795,0x703,engine_rpm,master,11435,0,rpm,49112951029760
3,1795,0x703,engine_rpm,master,11455,0,rpm,49198850375680
4,1795,0x703,engine_rpm,master,11475,0,rpm,49284749721600
5,193,0x0C1,,,0,769,raw,769
6,1795,0x703,engine_rpm,master,11495,0,rpm,49370649067520
7,177,0x0B1,front_brake_pressure,brake_node_1,11505,0,psi_x10,49413598740480
8,178,0x0B2,rear_brake_pressure,brake_node_1,11505,1945,psi_x10,49413598742425
9,1795,0x703,engine_rpm,master,11515,0,rpm,49456548413440
10,177,0x0B1,front_brake_pressure,brake_node_1,11515,0,psi_x10,49456548413440
11,178,0x0B2,rear_brake_pressure,brake_node_1,11515,1945,psi_x10,49456548415385
12,177,0x0B1,front_brake_pressure,brake_node_1,11525,0,psi_x10,49499498086400
13,178,0x0B2,rear_brake_pressure,brake_node_1,11525,1945,psi_x10,49499498088345
14,177,0x0B1,front_brake_pressure,brake_node_1,11535,0,psi_x10,49542447759360
15,1795,0x703,engine_rpm,master,11535,0,rpm,49542447759360
16,178,0x0B2,rear_brake_pressure,brake_node_1,11535,1945,psi_x10,49542447761305
17,177,0x0B1,front_brake_pressure,brake_node_1,11545,0,psi_x10,49585397432320
18,178,0x0B2,rear_brake_pressure,brake_node_1,11545,1945,psi_x10,49585397434265
19,177,0x0B1,front_brake_pressure,brake_node_1,11555,0,psi_x10,49628347105280
20,1795,0x703,engine_rpm,master,11555,0,rpm,49628347105280
21,178,0x0B2,rear_brake_pressure,brake_node_1,11555,1945,psi_x10,49628347107225
22,177,0x0B1,front_brake_pressure,brake_node_1,11565,0,psi_x10,49671296778240
23,178,0x0B2,rear_brake_pressure,brake_node_1,11565,1945,psi_x10,49671296780185
24,177,0x0B1,front_brake_pressure,brake_node_1,11575,0,psi_x10,49714246451200
25,1795,0x703,engine_rpm,master,11575,0,rpm,49714246451200
26,178,0x0B2,rear_brake_pressure,brake_node_1,11575,1945,psi_x10,49714246453145
27,177,0x0B1,front_brake_pressure,brake_node_1,11585,0,psi_x10,49757196124160
28,178,0x0B2,rear_brake_pressure,brake_node_1,11585,1945,psi_x10,49757196126105
29,177,0x0B1,front_brake_pressure,brake_node_1,11595,0,psi_x10,49800145797120
30,1795,0x703,engine_rpm,master,11595,0,rpm,49800145797120
31,178,0x0B2,rear_brake_pressure,brake_node_1,11595,1945,psi_x10,49800145799065
32,177,0x0B1,front_brake_pressure,brake_node_1,11605,0,psi_x10,49843095470080
33,178,0x0B2,rear_brake_pressure,brake_node_1,11605,1945,psi_x10,49843095472025
34,177,0x0B1,front_brake_pressure,brake_node_1,11615,0,psi_x10,49886045143040
35,1795,0x703,engine_rpm,master,11615,0,rpm,49886045143040
36,178,0x0B2,rear_brake_pressure,brake_node_1,11615,1945,psi_x10,49886045144985
37,177,0x0B1,front_brake_pressure,brake_node_1,11625,0,psi_x10,49928994816000
38,178,0x0B2,rear_brake_pressure,brake_node_1,11625,1945,psi_x10,49928994817945
39,177,0x0B1,front_brake_pressure,brake_node_1,11635,0,psi_x10,49971944488960
