sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
39134,177,0x0B1,front_brake_pressure,brake_node_1,212787,0,psi_x10,913913206013952
39135,178,0x0B2,rear_brake_pressure,brake_node_1,212787,1945,psi_x10,913913206015897
39136,177,0x0B1,front_brake_pressure,brake_node_1,212797,0,psi_x10,913956155686912
39137,178,0x0B2,rear_brake_pressure,brake_node_1,212797,1945,psi_x10,913956155688857
39138,1795,0x703,engine_rpm,master,212799,0,rpm,913964745621504
39139,177,0x0B1,front_brake_pressure,brake_node_1,212807,0,psi_x10,913999105359872
39140,178,0x0B2,rear_brake_pressure,brake_node_1,212807,1945,psi_x10,913999105361817
39141,177,0x0B1,front_brake_pressure,brake_node_1,212817,0,psi_x10,914042055032832
39142,178,0x0B2,rear_brake_pressure,brake_node_1,212817,1945,psi_x10,914042055034777
39143,1795,0x703,engine_rpm,master,212819,0,rpm,914050644967424
39144,177,0x0B1,front_brake_pressure,brake_node_1,212827,0,psi_x10,914085004705792
39145,178,0x0B2,rear_brake_pressure,brake_node_1,212827,1945,psi_x10,914085004707737
39146,177,0x0B1,front_brake_pressure,brake_node_1,212837,0,psi_x10,914127954378752
39147,178,0x0B2,rear_brake_pressure,brake_node_1,212837,1945,psi_x10,914127954380697
39148,1795,0x703,engine_rpm,master,212839,0,rpm,914136544313344
39149,177,0x0B1,front_brake_pressure,brake_node_1,212847,0,psi_x10,914170904051712
39150,178,0x0B2,rear_brake_pressure,brake_node_1,212847,1945,psi_x10,914170904053657
39151,177,0x0B1,front_brake_pressure,brake_node_1,212857,0,psi_x10,914213853724672
39152,178,0x0B2,rear_brake_pressure,brake_node_1,212857,1945,psi_x10,914213853726617
39153,1795,0x703,engine_rpm,master,212859,0,rpm,914222443659264
39154,177,0x0B1,front_brake_pressure,brake_node_1,212867,0,psi_x10,914256803397632
39155,178,0x0B2,rear_brake_pressure,brake_node_1,212867,1945,psi_x10,914256803399577
39156,177,0x0B1,front_brake_pressure,brake_node_1,212877,0,psi_x10,914299753070592
39157,178,0x0B2,rear_brake_pressure,brake_node_1,212877,1945,psi_x10,914299753072537
39158,1795,0x703,engine_rpm,master,212879,0,rpm,914308343005184
39159,177,0x0B1,front_brake_pressure,brake_node_1,212887,0,psi_x10,914342702743552
39160,178,0x0B2,rear_brake_pressure,brake_node_1,212887,1945,psi_x10,914342702745497
39161,177,0x0B1,front_brake_pressure,brake_node_1,212897,0,psi_x10,914385652416512
39162,178,0x0B2,rear_brake_pressure,brake_node_1,212897,1945,psi_x10,914385652418457
39163,1795,0x703,engine_rpm,master,212898,109,rpm,914389947383917
39164,387,0x183,,,4278190080,3,raw,18374686479671623683
39165,386,0x182,,,4278190080,2,raw,18374686479671623682
39166,177,0x0B1,front_brake_pressure,brake_node_1,212907,0,psi_x10,914428602089472
39167,178,0x0B2,rear_brake_pressure,brake_node_1,212907,1945,psi_x10,914428602091417
39168,385,0x181,,,4278190080,16908545,raw,18374686479688532225
39169,177,0x0B1,front_brake_pressure,brake_node_1,212917,0,psi_x10,914471551762432
39170,178,0x0B2,rear_brake_pressure,brake_node_1,212917,1945,psi_x10,914471551764377
39171,1795,0x703,engine_rpm,master,212918,109,rpm,914475846729837
39172,177,0x0B1,front_brake_pressure,brake_node_1,212927,0,psi_x10,914514501435392
39173,178,0x0B2,rear_brake_pressure,brake_node_1,212927,1945,psi_x10,914514501437337
39174,177,0x0B1,front_brake_pressure,brake_node_1,212937,0,psi_x10,914557451108352
39175,178,0x0B2,rear_brake_pressure,brake_node_1,212937,1945,psi_x10,914557451110297
39176,1795,0x703,engine_rpm,master,212938,109,rpm,914561746075757
39177,177,0x0B1,front_brake_pressure,brake_node_1,212947,0,psi_x10,914600400781312
39178,178,0x0B2,rear_brake_pressure,brake_node_1,212947,1945,psi_x10,914600400783257
39179,177,0x0B1,front_brake_pressure,brake_node_1,212957,0,psi_x10,914643350454272
39180,178,0x0B2,rear_brake_pressure,brake_node_1,212957,1945,psi_x10,914643350456217
39181,1795,0x703,engine_rpm,master,212958,109,rpm,914647645421677
39182,177,0x0B1,front_brake_pressure,brake_node_1,212967,0,psi_x10,914686300127232
39183,178,0x0B2,rear_brake_pressure,brake_node_1,212967,1945,psi_x10,914686300129177
39184,177,0x0B1,front_brake_pressure,brake_node_1,212977,0,psi_x10,914729249800192
39185,178,0x0B2,rear_brake_pressure,brake_node_1,212977,1945,psi_x10,914729249802137
39186,1795,0x703,engine_rpm,master,212978,109,rpm,914733544767597
39187,177,0x0B1,front_brake_pressure,brake_node_1,212987,0,psi_x10,914772199473152
39188,178,0x0B2,rear_brake_pressure,brake_node_1,212987,1945,psi_x10,914772199475097
39189,177,0x0B1,front_brake_pressure,brake_node_1,212997,0,psi_x10,914815149146112
39190,1795,0x703,engine_rpm,master,212997,606,rpm,914815149146718
39191,178,0x0B2,rear_brake_pressure,brake_node_1,212997,1945,psi_x10,914815149148057
39192,177,0x0B1,front_brake_pressure,brake_node_1,213007,0,psi_x10,914858098819072
39193,178,0x0B2,rear_brake_pressure,brake_node_1,213007,1945,psi_x10,914858098821017
39194,177,0x0B1,front_brake_pressure,brake_node_1,213017,0,psi_x10,914901048492032
39195,178,0x0B2,rear_brake_pressure,brake_node_1,213017,1945,psi_x10,914901048493977
39196,1795,0x703,engine_rpm,master,213018,606,rpm,914905343459934
39197,177,0x0B1,front_brake_pressure,brake_node_1,213027,0,psi_x10,914943998164992
39198,178,0x0B2,rear_brake_pressure,brake_node_1,213027,1945,psi_x10,914943998166937
39199,177,0x0B1,front_brake_pressure,brake_node_1,213037,0,psi_x10,914986947837952
39200,1795,0x703,engine_rpm,master,213038,606,rpm,914991242805854
39201,178,0x0B2,rear_brake_pressure,brake_node_1,213037,1945,psi_x10,914986947839897
39202,177,0x0B1,front_brake_pressure,brake_node_1,213047,0,psi_x10,915029897510912
39203,178,0x0B2,rear_brake_pressure,brake_node_1,213047,1945,psi_x10,915029897512857
39204,177,0x0B1,front_brake_pressure,brake_node_1,213057,0,psi_x10,915072847183872
39205,178,0x0B2,rear_brake_pressure,brake_node_1,213057,1945,psi_x10,915072847185817
39206,1795,0x703,engine_rpm,master,213058,606,rpm,915077142151774
39207,177,0x0B1,front_brake_pressure,brake_node_1,213067,0,psi_x10,915115796856832
39208,178,0x0B2,rear_brake_pressure,brake_node_1,213067,1945,psi_x10,915115796858777
39209,177,0x0B1,front_brake_pressure,brake_node_1,213077,0,psi_x10,915158746529792
39210,178,0x0B2,rear_brake_pressure,brake_node_1,213077,1945,psi_x10,915158746531737
39211,1795,0x703,engine_rpm,master,213078,606,rpm,915163041497694
39212,177,0x0B1,front_brake_pressure,brake_node_1,213087,0,psi_x10,915201696202752
39213,178,0x0B2,rear_brake_pressure,brake_node_1,213087,1945,psi_x10,915201696204697
39214,177,0x0B1,front_brake_pressure,brake_node_1,213097,0,psi_x10,915244645875712
39215,178,0x0B2,rear_brake_pressure,brake_node_1,213097,1945,psi_x10,915244645877657
39216,1795,0x703,engine_rpm,master,213098,606,rpm,915248940843614
39217,177,0x0B1,front_brake_pressure,brake_node_1,213107,0,psi_x10,915287595548672
39218,178,0x0B2,rear_brake_pressure,brake_node_1,213107,1945,psi_x10,915287595550617
39219,177,0x0B1,front_brake_pressure,brake_node_1,213117,0,psi_x10,915330545221632
39220,178,0x0B2,rear_brake_pressure,brake_node_1,213117,1945,psi_x10,915330545223577
39221,1795,0x703,engine_rpm,master,213118,606,rpm,915334840189534
39222,177,0x0B1,front_brake_pressure,brake_node_1,213127,0,psi_x10,915373494894592
39223,178,0x0B2,rear_brake_pressure,brake_node_1,213127,1945,psi_x10,915373494896537
39224,177,0x0B1,front_brake_pressure,brake_node_1,213137,0,psi_x10,915416444567552
39225,178,0x0B2,rear_brake_pressure,brake_node_1,213137,1945,psi_x10,915416444569497
39226,1795,0x703,engine_rpm,master,213138,606,rpm,915420739535454
39227,177,0x0B1,front_brake_pressure,brake_node_1,213147,0,psi_x10,915459394240512
39228,178,0x0B2,rear_brake_pressure,brake_node_1,213147,1945,psi_x10,915459394242457
39229,177,0x0B1,front_brake_pressure,brake_node_1,213157,0,psi_x10,915502343913472
39230,178,0x0B2,rear_brake_pressure,brake_node_1,213157,1945,psi_x10,915502343915417
39231,1795,0x703,engine_rpm,master,213158,606,rpm,915506638881374
