sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
39384,178,0x0B2,rear_brake_pressure,brake_node_1,213757,1945,psi_x10,918079324293017
39385,177,0x0B1,front_brake_pressure,brake_node_1,213767,0,psi_x10,918122273964032
39386,178,0x0B2,rear_brake_pressure,brake_node_1,213767,1945,psi_x10,918122273965977
39387,1795,0x703,engine_rpm,master,213769,260,rpm,918130863898884
39388,177,0x0B1,front_brake_pressure,brake_node_1,213777,0,psi_x10,918165223636992
39389,178,0x0B2,rear_brake_pressure,brake_node_1,213777,1945,psi_x10,918165223638937
39390,177,0x0B1,front_brake_pressure,brake_node_1,213787,0,psi_x10,918208173309952
39391,178,0x0B2,rear_brake_pressure,brake_node_1,213787,1945,psi_x10,918208173311897
39392,1795,0x703,engine_rpm,master,213789,260,rpm,918216763244804
39393,177,0x0B1,front_brake_pressure,brake_node_1,213797,0,psi_x10,918251122982912
39394,178,0x0B2,rear_brake_pressure,brake_node_1,213797,1945,psi_x10,918251122984857
39395,177,0x0B1,front_brake_pressure,brake_node_1,213807,0,psi_x10,918294072655872
39396,178,0x0B2,rear_brake_pressure,brake_node_1,213807,1945,psi_x10,918294072657817
39397,1795,0x703,engine_rpm,master,213809,260,rpm,918302662590724
39398,177,0x0B1,front_brake_pressure,brake_node_1,213817,0,psi_x10,918337022328832
39399,178,0x0B2,rear_brake_pressure,brake_node_1,213817,1945,psi_x10,918337022330777
39400,177,0x0B1,front_brake_pressure,brake_node_1,213827,0,psi_x10,918379972001792
39401,178,0x0B2,rear_brake_pressure,brake_node_1,213827,1945,psi_x10,918379972003737
39402,1795,0x703,engine_rpm,master,213829,260,rpm,918388561936644
39403,177,0x0B1,front_brake_pressure,brake_node_1,213837,0,psi_x10,918422921674752
39404,178,0x0B2,rear_brake_pressure,brake_node_1,213837,1945,psi_x10,918422921676697
39405,177,0x0B1,front_brake_pressure,brake_node_1,213847,0,psi_x10,918465871347712
39406,178,0x0B2,rear_brake_pressure,brake_node_1,213847,1945,psi_x10,918465871349657
39407,1795,0x703,engine_rpm,master,213849,260,rpm,918474461282564
39408,177,0x0B1,front_brake_pressure,brake_node_1,213857,0,psi_x10,918508821020672
39409,178,0x0B2,rear_brake_pressure,brake_node_1,213857,1945,psi_x10,918508821022617
39410,177,0x0B1,front_brake_pressure,brake_node_1,213867,0,psi_x10,918551770693632
39411,178,0x0B2,rear_brake_pressure,brake_node_1,213867,1945,psi_x10,918551770695577
39412,1795,0x703,engine_rpm,master,213869,260,rpm,918560360628484
39413,177,0x0B1,front_brake_pressure,brake_node_1,213877,0,psi_x10,918594720366592
39414,178,0x0B2,rear_brake_pressure,brake_node_1,213877,1945,psi_x10,918594720368537
39415,177,0x0B1,front_brake_pressure,brake_node_1,213887,0,psi_x10,918637670039552
39416,178,0x0B2,rear_brake_pressure,brake_node_1,213887,1945,psi_x10,918637670041497
39417,1795,0x703,engine_rpm,master,213889,260,rpm,918646259974404
39418,177,0x0B1,front_brake_pressure,brake_node_1,213897,0,psi_x10,918680619712512
39419,178,0x0B2,rear_brake_pressure,brake_node_1,213897,1945,psi_x10,918680619714457
39420,387,0x183,,,4278190080,3,raw,18374686479671623683
39421,386,0x182,,,4278190080,2,raw,18374686479671623682
