sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,179,0x0B3,Brake pressure F,Node 1,123030,0,deg_x10,1781304960.713910,123071860
1,180,0x0B4,Brake pressure R,Node 1,123030,0,psi_x10,1781304960.713910,123071860
2,188,0x0BC,Engine rpm,Node 4,123067,660,deg_x10,1781304960.713910,123071860
3,179,0x0B3,Brake pressure F,Node 1,123130,0,deg_x10,1781304960.790860,123181895
4,180,0x0B4,Brake pressure R,Node 1,123130,0,psi_x10,1781304960.790860,123181895
5,188,0x0BC,Engine rpm,Node 4,123177,663,deg_x10,1781304960.790860,123181895
6,179,0x0B3,Brake pressure F,Node 1,123230,0,deg_x10,1781304960.804868,123281891
7,180,0x0B4,Brake pressure R,Node 1,123230,0,psi_x10,1781304960.804868,123281891
8,188,0x0BC,Engine rpm,Node 4,123277,661,deg_x10,1781304960.804868,123281891
9,179,0x0B3,Brake pressure F,Node 1,123330,0,deg_x10,1781304960.893210,123381891
10,180,0x0B4,Brake pressure R,Node 1,123330,0,psi_x10,1781304960.893210,123381891
11,188,0x0BC,Engine rpm,Node 4,123377,659,deg_x10,1781304960.893210,123381891
12,179,0x0B3,Brake pressure F,Node 1,123530,0,deg_x10,1781304961.288968,123591894
13,180,0x0B4,Brake pressure R,Node 1,123530,0,psi_x10,1781304961.288968,123591894
14,188,0x0BC,Engine rpm,Node 4,123587,661,deg_x10,1781304961.288968,123591894
15,179,0x0B3,Brake pressure F,Node 1,123630,0,deg_x10,1781304961.289145,123691861
16,180,0x0B4,Brake pressure R,Node 1,123630,0,psi_x10,1781304961.289145,123691861
17,188,0x0BC,Engine rpm,Node 4,123687,661,deg_x10,1781304961.289145,123691861
18,179,0x0B3,Brake pressure F,Node 1,123730,0,deg_x10,1781304961.289487,123791860
19,180,0x0B4,Brake pressure R,Node 1,123730,0,psi_x10,1781304961.289487,123791860
20,188,0x0BC,Engine rpm,Node 4,123787,661,deg_x10,1781304961.289487,123791860
21,179,0x0B3,Brake pressure F,Node 1,123830,0,deg_x10,1781304961.313835,123891860
22,180,0x0B4,Brake pressure R,Node 1,123830,0,psi_x10,1781304961.313835,123891860
23,188,0x0BC,Engine rpm,Node 4,123887,668,deg_x10,1781304961.313835,123891860
24,179,0x0B3,Brake pressure F,Node 1,123930,0,deg_x10,1781304961.661317,123991860
25,180,0x0B4,Brake pressure R,Node 1,123930,0,psi_x10,1781304961.661317,123991860
26,188,0x0BC,Engine rpm,Node 4,123987,660,deg_x10,1781304961.661317,123991860
27,179,0x0B3,Brake pressure F,Node 1,124030,0,deg_x10,1781304961.793181,124091860
28,180,0x0B4,Brake pressure R,Node 1,124030,0,psi_x10,1781304961.793181,124091860
29,188,0x0BC,Engine rpm,Node 4,124087,660,deg_x10,1781304961.793181,124091860
30,179,0x0B3,Brake pressure F,Node 1,124130,0,deg_x10,1781304961.797918,124191860
31,180,0x0B4,Brake pressure R,Node 1,124130,0,psi_x10,1781304961.797918,124191860
32,188,0x0BC,Engine rpm,Node 4,124187,660,deg_x10,1781304961.797918,124191860
33,179,0x0B3,Brake pressure F,Node 1,124230,0,deg_x10,1781304961.798584,124291860
34,180,0x0B4,Brake pressure R,Node 1,124230,0,psi_x10,1781304961.798584,124291860
35,188,0x0BC,Engine rpm,Node 4,124287,659,deg_x10,1781304961.798584,124291860
36,179,0x0B3,Brake pressure F,Node 1,124330,0,deg_x10,1781304962.014486,124391861
37,180,0x0B4,Brake pressure R,Node 1,124330,0,psi_x10,1781304962.014486,124391861
38,188,0x0BC,Engine rpm,Node 4,124387,668,deg_x10,1781304962.014486,124391861
39,179,0x0B3,Brake pressure F,Node 1,124430,0,deg_x10,1781304962.126560,124491860
40,180,0x0B4,Brake pressure R,Node 1,124430,0,psi_x10,1781304962.126560,124491860
41,188,0x0BC,Engine rpm,Node 4,124487,669,deg_x10,1781304962.126560,124491860
42,179,0x0B3,Brake pressure F,Node 1,124530,0,deg_x10,1781304962.126644,124591860
43,180,0x0B4,Brake pressure R,Node 1,124530,0,psi_x10,1781304962.126644,124591860
