sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,179,0x0B3,Brake pressure F,Node 1,614555,0,deg_x10,1781221997.372159,614557444
1,180,0x0B4,Brake pressure R,Node 1,614555,0,psi_x10,1781221997.372159,614557444
2,185,0x0B9,Wheel rpm,Node 3,614556,3,rpm,1781221997.372159,614557444
3,186,0x0BA,Engine rpm,Node 3,614556,0,rpm,1781221997.372159,614557444
4,179,0x0B3,Brake pressure F,Node 1,615455,0,deg_x10,1781221998.413361,615519576
5,180,0x0B4,Brake pressure R,Node 1,615455,0,psi_x10,1781221998.413361,615519576
6,185,0x0B9,Wheel rpm,Node 3,615516,3,rpm,1781221998.413361,615519576
7,186,0x0BA,Engine rpm,Node 3,615516,0,rpm,1781221998.413361,615519576
8,179,0x0B3,Brake pressure F,Node 1,615555,0,deg_x10,1781221998.702794,615621918
9,180,0x0B4,Brake pressure R,Node 1,615555,0,psi_x10,1781221998.702794,615621918
10,185,0x0B9,Wheel rpm,Node 3,615616,3,rpm,1781221998.702794,615621918
11,186,0x0BA,Engine rpm,Node 3,615616,0,rpm,1781221998.702794,615621918
12,179,0x0B3,Brake pressure F,Node 1,616255,0,deg_x10,1781221999.314001,616278123
13,180,0x0B4,Brake pressure R,Node 1,616255,0,psi_x10,1781221999.314001,616278123
14,185,0x0B9,Wheel rpm,Node 3,616276,3,rpm,1781221999.314001,616278123
15,186,0x0BA,Engine rpm,Node 3,616276,0,rpm,1781221999.314001,616278123
16,179,0x0B3,Brake pressure F,Node 1,616655,0,deg_x10,1781221999.608500,616722399
17,180,0x0B4,Brake pressure R,Node 1,616655,0,psi_x10,1781221999.608500,616722399
18,185,0x0B9,Wheel rpm,Node 3,616716,3,rpm,1781221999.608500,616722399
19,186,0x0BA,Engine rpm,Node 3,616716,0,rpm,1781221999.608500,616722399
20,179,0x0B3,Brake pressure F,Node 1,616755,0,deg_x10,1781221999.821592,616821917
21,180,0x0B4,Brake pressure R,Node 1,616755,0,psi_x10,1781221999.821592,616821917
22,185,0x0B9,Wheel rpm,Node 3,616816,2,rpm,1781221999.821592,616821917
23,186,0x0BA,Engine rpm,Node 3,616816,0,rpm,1781221999.821592,616821917
24,179,0x0B3,Brake pressure F,Node 1,617255,0,deg_x10,1781222000.128548,617332457
25,180,0x0B4,Brake pressure R,Node 1,617255,0,psi_x10,1781222000.128548,617332457
