sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,512,,1781305599.779087,475286033
1,196,0x0C4,,,0,512,,1781305599.779087,475286033
2,179,0x0B3,Brake pressure F,Node 1,18311,0,deg_x10,1781305142.632384,18341943
3,180,0x0B4,Brake pressure R,Node 1,18311,0,psi_x10,1781305142.632384,18341943
4,188,0x0BC,Engine rpm,Node 4,18336,668,deg_x10,1781305142.632384,18341943
5,179,0x0B3,Brake pressure F,Node 1,18411,0,deg_x10,1781305142.632796,18441859
6,180,0x0B4,Brake pressure R,Node 1,18411,0,psi_x10,1781305142.632796,18441859
7,188,0x0BC,Engine rpm,Node 4,18436,669,deg_x10,1781305142.632796,18441859
8,179,0x0B3,Brake pressure F,Node 1,18511,0,deg_x10,1781305142.839566,18541859
9,180,0x0B4,Brake pressure R,Node 1,18511,0,psi_x10,1781305142.839566,18541859
10,188,0x0BC,Engine rpm,Node 4,18536,668,deg_x10,1781305142.839566,18541859
11,179,0x0B3,Brake pressure F,Node 1,18611,0,deg_x10,1781305142.839626,18641859
12,180,0x0B4,Brake pressure R,Node 1,18611,0,psi_x10,1781305142.839626,18641859
13,188,0x0BC,Engine rpm,Node 4,18636,660,deg_x10,1781305142.839626,18641859
14,179,0x0B3,Brake pressure F,Node 1,18711,0,deg_x10,1781305143.200934,18751862
15,180,0x0B4,Brake pressure R,Node 1,18711,0,psi_x10,1781305143.200934,18751862
16,188,0x0BC,Engine rpm,Node 4,18746,663,deg_x10,1781305143.200934,18751862
17,179,0x0B3,Brake pressure F,Node 1,18811,0,deg_x10,1781305143.201293,18851858
18,180,0x0B4,Brake pressure R,Node 1,18811,0,psi_x10,1781305143.201293,18851858
19,188,0x0BC,Engine rpm,Node 4,18846,668,deg_x10,1781305143.201293,18851858
20,179,0x0B3,Brake pressure F,Node 1,18911,0,deg_x10,1781305143.370994,18951859
21,180,0x0B4,Brake pressure R,Node 1,18911,0,psi_x10,1781305143.370994,18951859
22,188,0x0BC,Engine rpm,Node 4,18946,663,deg_x10,1781305143.370994,18951859
23,179,0x0B3,Brake pressure F,Node 1,19010,0,deg_x10,1781305143.760752,19051859
24,180,0x0B4,Brake pressure R,Node 1,19010,0,psi_x10,1781305143.760752,19051859
25,188,0x0BC,Engine rpm,Node 4,19046,663,deg_x10,1781305143.760752,19051859
26,179,0x0B3,Brake pressure F,Node 1,19310,0,deg_x10,1781305143.761197,19381960
27,180,0x0B4,Brake pressure R,Node 1,19310,0,psi_x10,1781305143.761197,19381960
28,188,0x0BC,Engine rpm,Node 4,19376,659,deg_x10,1781305143.761197,19381960
29,179,0x0B3,Brake pressure F,Node 1,19410,0,deg_x10,1781305143.928557,19481889
30,180,0x0B4,Brake pressure R,Node 1,19410,0,psi_x10,1781305143.928557,19481889
31,188,0x0BC,Engine rpm,Node 4,19476,659,deg_x10,1781305143.928557,19481889
32,179,0x0B3,Brake pressure F,Node 1,19510,0,deg_x10,1781305143.928588,19581889
33,180,0x0B4,Brake pressure R,Node 1,19510,0,psi_x10,1781305143.928588,19581889
34,188,0x0BC,Engine rpm,Node 4,19576,661,deg_x10,1781305143.928588,19581889
35,179,0x0B3,Brake pressure F,Node 1,19610,0,deg_x10,1781305143.928613,19681889
36,180,0x0B4,Brake pressure R,Node 1,19610,0,psi_x10,1781305143.928613,19681889
37,188,0x0BC,Engine rpm,Node 4,19676,660,deg_x10,1781305143.928613,19681889
38,179,0x0B3,Brake pressure F,Node 1,19710,0,deg_x10,1781305144.079056,19781889
39,180,0x0B4,Brake pressure R,Node 1,19710,0,psi_x10,1781305144.079056,19781889
40,188,0x0BC,Engine rpm,Node 4,19775,667,deg_x10,1781305144.079056,19781889
41,179,0x0B3,Brake pressure F,Node 1,19810,0,deg_x10,1781305144.079132,19881890
42,180,0x0B4,Brake pressure R,Node 1,19810,0,psi_x10,1781305144.079132,19881890
43,188,0x0BC,Engine rpm,Node 4,19875,671,deg_x10,1781305144.079132,19881890
44,179,0x0B3,Brake pressure F,Node 1,20110,0,deg_x10,1781305144.314026,20182920
45,180,0x0B4,Brake pressure R,Node 1,20110,0,psi_x10,1781305144.314026,20182920
46,188,0x0BC,Engine rpm,Node 4,20175,671,deg_x10,1781305144.314026,20182920
47,179,0x0B3,Brake pressure F,Node 1,20210,0,deg_x10,1781305144.416892,20281889
48,180,0x0B4,Brake pressure R,Node 1,20210,0,psi_x10,1781305144.416892,20281889
49,188,0x0BC,Engine rpm,Node 4,20275,671,deg_x10,1781305144.416892,20281889
50,179,0x0B3,Brake pressure F,Node 1,20310,0,deg_x10,1781305144.417265,20381889
51,180,0x0B4,Brake pressure R,Node 1,20310,0,psi_x10,1781305144.417265,20381889
52,188,0x0BC,Engine rpm,Node 4,20375,670,deg_x10,1781305144.417265,20381889
53,179,0x0B3,Brake pressure F,Node 1,20410,0,deg_x10,1781305144.721223,20481890
54,180,0x0B4,Brake pressure R,Node 1,20410,0,psi_x10,1781305144.721223,20481890
