sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,512,,1781358375.577812,68061986
1,196,0x0C4,,,0,512,,1781358375.577812,68061986
2,179,0x0B3,Brake pressure F,Node 1,42518,0,deg_x10,1781358350.386832,42573034
3,180,0x0B4,Brake pressure R,Node 1,42518,0,psi_x10,1781358350.386832,42573034
4,188,0x0BC,Engine rpm,Node 4,42571,14,deg_x10,1781358350.386832,42573034
5,179,0x0B3,Brake pressure F,Node 1,42918,0,deg_x10,1781358350.387995,42972539
6,180,0x0B4,Brake pressure R,Node 1,42918,0,psi_x10,1781358350.387995,42972539
7,188,0x0BC,Engine rpm,Node 4,42971,6,deg_x10,1781358350.387995,42972539
8,180,0x0B4,Brake pressure R,Node 1,43318,0,psi_x10,1781358350.797475,43381986
9,188,0x0BC,Engine rpm,Node 4,43380,7,deg_x10,1781358350.797475,43381986
10,188,0x0BC,Engine rpm,Node 4,43482,6,deg_x10,1781358351.331154,43483520
11,180,0x0B4,Brake pressure R,Node 1,43518,0,psi_x10,1781358351.332059,43581984
12,188,0x0BC,Engine rpm,Node 4,43580,6,deg_x10,1781358351.332059,43581984
13,180,0x0B4,Brake pressure R,Node 1,43618,0,psi_x10,1781358351.333803,43681983
14,188,0x0BC,Engine rpm,Node 4,43680,6,deg_x10,1781358351.333803,43681983
15,180,0x0B4,Brake pressure R,Node 1,43718,0,psi_x10,1781358351.338386,43781983
16,188,0x0BC,Engine rpm,Node 4,43780,6,deg_x10,1781358351.338386,43781983
17,180,0x0B4,Brake pressure R,Node 1,43818,0,psi_x10,1781358351.339206,43881983
18,188,0x0BC,Engine rpm,Node 4,43880,12,deg_x10,1781358351.339206,43881983
19,188,0x0BC,Engine rpm,Node 4,44003,12,deg_x10,1781358351.676367,44004098
20,180,0x0B4,Brake pressure R,Node 1,44018,0,psi_x10,1781358352.592191,44081983
21,188,0x0BC,Engine rpm,Node 4,44080,6,deg_x10,1781358352.592191,44081983
22,180,0x0B4,Brake pressure R,Node 1,44118,0,psi_x10,1781358352.597060,44182039
23,188,0x0BC,Engine rpm,Node 4,44180,13,deg_x10,1781358352.597060,44182039
24,180,0x0B4,Brake pressure R,Node 1,44218,0,psi_x10,1781358352.597382,44282041
25,188,0x0BC,Engine rpm,Node 4,44281,12,deg_x10,1781358352.597382,44282041
26,180,0x0B4,Brake pressure R,Node 1,44318,0,psi_x10,1781358352.597419,44382040
27,188,0x0BC,Engine rpm,Node 4,44381,6,deg_x10,1781358352.597419,44382040
28,188,0x0BC,Engine rpm,Node 4,44482,6,deg_x10,1781358352.597882,44483401
29,180,0x0B4,Brake pressure R,Node 1,44518,0,psi_x10,1781358352.598033,44582040
30,188,0x0BC,Engine rpm,Node 4,44581,6,deg_x10,1781358352.598033,44582040
31,180,0x0B4,Brake pressure R,Node 1,44618,0,psi_x10,1781358352.598080,44682039
32,188,0x0BC,Engine rpm,Node 4,44681,6,deg_x10,1781358352.598080,44682039
33,180,0x0B4,Brake pressure R,Node 1,44718,0,psi_x10,1781358352.598462,44782040
34,188,0x0BC,Engine rpm,Node 4,44781,7,deg_x10,1781358352.598462,44782040
35,180,0x0B4,Brake pressure R,Node 1,44818,0,psi_x10,1781358352.598508,44882041
36,188,0x0BC,Engine rpm,Node 4,44881,6,deg_x10,1781358352.598508,44882041
37,188,0x0BC,Engine rpm,Node 4,44982,6,deg_x10,1781358352.601036,44983478
38,180,0x0B4,Brake pressure R,Node 1,45018,0,psi_x10,1781358352.685687,45082041
39,188,0x0BC,Engine rpm,Node 4,45081,14,deg_x10,1781358352.685687,45082041
40,180,0x0B4,Brake pressure R,Node 1,45118,0,psi_x10,1781358352.813141,45182040
41,188,0x0BC,Engine rpm,Node 4,45181,6,deg_x10,1781358352.813141,45182040
42,180,0x0B4,Brake pressure R,Node 1,45218,0,psi_x10,1781358352.813170,45282041
43,188,0x0BC,Engine rpm,Node 4,45281,7,deg_x10,1781358352.813170,45282041
