sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,178,0x0B2,gps_speed,master,23644,99.12,km/h,1781124745.200010,23662295
1,178,0x0B2,gps_speed,master,24268,99.4,km/h,1781124745.895241,24361815
2,178,0x0B2,gps_speed,master,25033,100.17,km/h,1781124746.751032,25061800
3,178,0x0B2,gps_speed,master,26035,101.25,km/h,1781124747.354265,26061800
4,178,0x0B2,gps_speed,master,27036,102.01,km/h,1781124748.485206,27061800
5,178,0x0B2,gps_speed,master,28038,103.16,km/h,1781124749.416799,28061800
6,178,0x0B2,gps_speed,master,29034,104.73,km/h,1781124750.570975,29061800
7,178,0x0B2,gps_speed,master,30037,105.68,km/h,1781124751.629857,30061800
8,178,0x0B2,gps_speed,master,31035,106.88,km/h,1781124752.673692,31061800
9,178,0x0B2,gps_speed,master,32033,108.12,km/h,1781124753.849651,32061800
10,178,0x0B2,gps_speed,master,33033,107.92,km/h,1781124754.708872,33061800
11,178,0x0B2,gps_speed,master,34034,108.45,km/h,1781124755.935722,34061800
12,178,0x0B2,gps_speed,master,37778,110.55,km/h,1781124759.363643,37861800
13,178,0x0B2,gps_speed,master,38401,110.25,km/h,1781124759.616690,38461801
14,178,0x0B2,gps_speed,master,44032,108.03,km/h,1781124765.566200,44061808
15,178,0x0B2,gps_speed,master,59132,100.92,km/h,1781124780.498685,59161808
16,178,0x0B2,gps_speed,master,66139,98.92,km/h,1781124787.794800,66161808
17,178,0x0B2,gps_speed,master,67035,100.06,km/h,1781124788.447983,67061808
18,178,0x0B2,gps_speed,master,71658,102.56,km/h,1781124793.308288,71662809
19,178,0x0B2,gps_speed,master,73034,103.17,km/h,1781124794.929835,73061808
20,178,0x0B2,gps_speed,master,74035,103.58,km/h,1781124795.535962,74061808
21,178,0x0B2,gps_speed,master,75034,103.88,km/h,1781124796.445859,75061808
22,178,0x0B2,gps_speed,master,76040,104.51,km/h,1781124797.750192,76061808
23,178,0x0B2,gps_speed,master,77035,104.84,km/h,1781124798.339853,77061808
24,178,0x0B2,gps_speed,master,78038,105.05,km/h,1781124799.802390,78061808
25,178,0x0B2,gps_speed,master,79035,105.36,km/h,1781124800.362193,79061808
26,178,0x0B2,gps_speed,master,80038,105.55,km/h,1781124801.502697,80061808
27,178,0x0B2,gps_speed,master,81038,106.68,km/h,1781124802.369527,81061808
28,178,0x0B2,gps_speed,master,82038,105.9,km/h,1781124803.477921,82061808
29,178,0x0B2,gps_speed,master,84034,106.05,km/h,1781124805.500967,84061808
30,178,0x0B2,gps_speed,master,85034,106.16,km/h,1781124806.463979,85061809
31,178,0x0B2,gps_speed,master,86036,106.18,km/h,1781124807.457276,86061808
32,178,0x0B2,gps_speed,master,87034,105.99,km/h,1781124808.688722,87061808
33,178,0x0B2,gps_speed,master,88038,105.8,km/h,1781124809.653532,88061813
34,178,0x0B2,gps_speed,master,91031,105.03,km/h,1781124812.567474,91061808
35,178,0x0B2,gps_speed,master,92030,104.9,km/h,1781124813.623058,92061808
