sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,769,,1781304582.622735,117811944
1,196,0x0C4,,,0,769,,1781304582.622735,117811944
2,193,0x0C1,,,0,512,,1781304664.748026,199554972
3,196,0x0C4,,,0,512,,1781304664.748026,199554972
4,179,0x0B3,Brake pressure F,Node 1,117729,0,deg_x10,1781304582.622735,117811944
5,180,0x0B4,Brake pressure R,Node 1,117729,0,psi_x10,1781304582.622735,117811944
6,188,0x0BC,Engine rpm,Node 4,117808,2897,deg_x10,1781304582.622735,117811944
7,179,0x0B3,Brake pressure F,Node 1,117929,0,deg_x10,1781304582.955418,117962602
8,180,0x0B4,Brake pressure R,Node 1,117929,0,psi_x10,1781304582.955418,117962602
9,188,0x0BC,Engine rpm,Node 4,117958,2897,deg_x10,1781304582.955418,117962602
10,188,0x0BC,Engine rpm,Node 4,118008,2897,deg_x10,1781304582.958509,118011845
11,179,0x0B3,Brake pressure F,Node 1,118029,0,deg_x10,1781304583.095139,118111863
12,180,0x0B4,Brake pressure R,Node 1,118029,0,psi_x10,1781304583.095139,118111863
13,188,0x0BC,Engine rpm,Node 4,118108,2897,deg_x10,1781304583.095139,118111863
14,179,0x0B3,Brake pressure F,Node 1,118129,0,deg_x10,1781304583.095177,118211863
15,180,0x0B4,Brake pressure R,Node 1,118129,0,psi_x10,1781304583.095177,118211863
16,188,0x0BC,Engine rpm,Node 4,118208,2897,deg_x10,1781304583.095177,118211863
17,179,0x0B3,Brake pressure F,Node 1,118229,0,deg_x10,1781304583.095235,118311863
18,180,0x0B4,Brake pressure R,Node 1,118229,0,psi_x10,1781304583.095235,118311863
19,188,0x0BC,Engine rpm,Node 4,118308,2897,deg_x10,1781304583.095235,118311863
20,179,0x0B3,Brake pressure F,Node 1,118329,0,deg_x10,1781304583.332250,118413697
21,180,0x0B4,Brake pressure R,Node 1,118329,0,psi_x10,1781304583.332250,118413697
22,188,0x0BC,Engine rpm,Node 4,118408,2897,deg_x10,1781304583.332250,118413697
23,179,0x0B3,Brake pressure F,Node 1,118429,0,deg_x10,1781304583.469407,118511863
24,180,0x0B4,Brake pressure R,Node 1,118429,0,psi_x10,1781304583.469407,118511863
25,188,0x0BC,Engine rpm,Node 4,118508,2897,deg_x10,1781304583.469407,118511863
26,179,0x0B3,Brake pressure F,Node 1,118529,0,deg_x10,1781304583.469720,118611863
27,180,0x0B4,Brake pressure R,Node 1,118529,0,psi_x10,1781304583.469720,118611863
28,188,0x0BC,Engine rpm,Node 4,118608,2897,deg_x10,1781304583.469720,118611863
29,179,0x0B3,Brake pressure F,Node 1,118629,0,deg_x10,1781304583.470002,118711863
30,180,0x0B4,Brake pressure R,Node 1,118629,0,psi_x10,1781304583.470002,118711863
31,188,0x0BC,Engine rpm,Node 4,118708,2897,deg_x10,1781304583.470002,118711863
32,179,0x0B3,Brake pressure F,Node 1,118729,0,deg_x10,1781304583.600471,118812590
33,180,0x0B4,Brake pressure R,Node 1,118729,0,psi_x10,1781304583.600471,118812590
34,188,0x0BC,Engine rpm,Node 4,118808,2897,deg_x10,1781304583.600471,118812590
35,179,0x0B3,Brake pressure F,Node 1,118829,0,deg_x10,1781304583.857885,118913732
36,180,0x0B4,Brake pressure R,Node 1,118829,0,psi_x10,1781304583.857885,118913732
