sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,179,0x0B3,Brake pressure F,Node 1,216588,0,deg_x10,1781219800.200501,216635611
1,180,0x0B4,Brake pressure R,Node 1,216588,34,psi_x10,1781219800.200501,216635611
2,185,0x0B9,Wheel rpm,Node 3,216629,2047,rpm,1781219800.200501,216635611
3,186,0x0BA,Engine rpm,Node 3,216629,0,rpm,1781219800.200501,216635611
4,179,0x0B3,Brake pressure F,Node 1,217388,0,deg_x10,1781219800.800252,217445368
5,180,0x0B4,Brake pressure R,Node 1,217388,51,psi_x10,1781219800.800252,217445368
6,185,0x0B9,Wheel rpm,Node 3,217439,2047,rpm,1781219800.800252,217445368
7,186,0x0BA,Engine rpm,Node 3,217439,0,rpm,1781219800.800252,217445368
8,185,0x0B9,Wheel rpm,Node 3,217449,2047,rpm,1781219800.800429,217451845
9,186,0x0BA,Engine rpm,Node 3,217449,0,rpm,1781219800.800429,217451845
10,179,0x0B3,Brake pressure F,Node 1,217888,0,deg_x10,1781219801.299625,217903824
11,180,0x0B4,Brake pressure R,Node 1,217888,69,psi_x10,1781219801.299625,217903824
12,185,0x0B9,Wheel rpm,Node 3,217899,2045,rpm,1781219801.299625,217903824
13,186,0x0BA,Engine rpm,Node 3,217899,0,rpm,1781219801.299625,217903824
14,179,0x0B3,Brake pressure F,Node 1,218188,0,deg_x10,1781219801.448902,218256495
15,180,0x0B4,Brake pressure R,Node 1,218188,95,psi_x10,1781219801.448902,218256495
16,185,0x0B9,Wheel rpm,Node 3,218249,2047,rpm,1781219801.448902,218256495
17,186,0x0BA,Engine rpm,Node 3,218249,0,rpm,1781219801.448902,218256495
18,185,0x0B9,Wheel rpm,Node 3,218259,2047,rpm,1781219801.747055,218262316
19,186,0x0BA,Engine rpm,Node 3,218259,0,rpm,1781219801.747055,218262316
20,179,0x0B3,Brake pressure F,Node 1,218288,0,deg_x10,1781219801.747085,218361894
21,180,0x0B4,Brake pressure R,Node 1,218288,95,psi_x10,1781219801.747085,218361894
22,185,0x0B9,Wheel rpm,Node 3,218359,2047,rpm,1781219801.747085,218361894
23,186,0x0BA,Engine rpm,Node 3,218359,0,rpm,1781219801.747085,218361894
24,179,0x0B3,Brake pressure F,Node 1,218787,0,deg_x10,1781219802.230102,218851982
