sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,512,,1781309519.695698,159451833
1,179,0x0B3,Brake pressure F,Node 1,112679,0,deg_x10,1781309473.057549,112682360
2,180,0x0B4,Brake pressure R,Node 1,112679,0,psi_x10,1781309473.057549,112682360
3,179,0x0B3,Brake pressure F,Node 1,112779,0,deg_x10,1781309473.057676,112791835
4,180,0x0B4,Brake pressure R,Node 1,112779,0,psi_x10,1781309473.057676,112791835
5,179,0x0B3,Brake pressure F,Node 1,112879,0,deg_x10,1781309473.193863,112891835
6,180,0x0B4,Brake pressure R,Node 1,112879,0,psi_x10,1781309473.193863,112891835
7,179,0x0B3,Brake pressure F,Node 1,112979,0,deg_x10,1781309473.193898,112991835
8,180,0x0B4,Brake pressure R,Node 1,112979,0,psi_x10,1781309473.193898,112991835
9,179,0x0B3,Brake pressure F,Node 1,113078,0,deg_x10,1781309473.444392,113091837
10,180,0x0B4,Brake pressure R,Node 1,113078,0,psi_x10,1781309473.444392,113091837
11,179,0x0B3,Brake pressure F,Node 1,113178,0,deg_x10,1781309473.444617,113191843
12,180,0x0B4,Brake pressure R,Node 1,113178,0,psi_x10,1781309473.444617,113191843
13,179,0x0B3,Brake pressure F,Node 1,113278,0,deg_x10,1781309473.623697,113291837
14,180,0x0B4,Brake pressure R,Node 1,113278,0,psi_x10,1781309473.623697,113291837
15,179,0x0B3,Brake pressure F,Node 1,113378,0,deg_x10,1781309473.624269,113391835
16,180,0x0B4,Brake pressure R,Node 1,113378,0,psi_x10,1781309473.624269,113391835
17,179,0x0B3,Brake pressure F,Node 1,113478,0,deg_x10,1781309473.670619,113491837
18,180,0x0B4,Brake pressure R,Node 1,113478,0,psi_x10,1781309473.670619,113491837
19,179,0x0B3,Brake pressure F,Node 1,113578,0,deg_x10,1781309473.977663,113591835
20,180,0x0B4,Brake pressure R,Node 1,113578,0,psi_x10,1781309473.977663,113591835
21,179,0x0B3,Brake pressure F,Node 1,113678,0,deg_x10,1781309473.989808,113691843
22,180,0x0B4,Brake pressure R,Node 1,113678,0,psi_x10,1781309473.989808,113691843
23,179,0x0B3,Brake pressure F,Node 1,113778,0,deg_x10,1781309474.159250,113801837
24,180,0x0B4,Brake pressure R,Node 1,113778,0,psi_x10,1781309474.159250,113801837
25,179,0x0B3,Brake pressure F,Node 1,113878,0,deg_x10,1781309474.299553,113901836
26,180,0x0B4,Brake pressure R,Node 1,113878,0,psi_x10,1781309474.299553,113901836
27,179,0x0B3,Brake pressure F,Node 1,113978,0,deg_x10,1781309474.299576,114001835
28,180,0x0B4,Brake pressure R,Node 1,113978,0,psi_x10,1781309474.299576,114001835
29,179,0x0B3,Brake pressure F,Node 1,114078,0,deg_x10,1781309474.437168,114101835
30,180,0x0B4,Brake pressure R,Node 1,114078,0,psi_x10,1781309474.437168,114101835
31,179,0x0B3,Brake pressure F,Node 1,114178,0,deg_x10,1781309474.437562,114201835
32,180,0x0B4,Brake pressure R,Node 1,114178,0,psi_x10,1781309474.437562,114201835
33,179,0x0B3,Brake pressure F,Node 1,114278,0,deg_x10,1781309474.611510,114301835
34,180,0x0B4,Brake pressure R,Node 1,114278,0,psi_x10,1781309474.611510,114301835
35,179,0x0B3,Brake pressure F,Node 1,114378,0,deg_x10,1781309474.611760,114401835
36,180,0x0B4,Brake pressure R,Node 1,114378,0,psi_x10,1781309474.611760,114401835
37,179,0x0B3,Brake pressure F,Node 1,114478,0,deg_x10,1781309474.646233,114502189
38,180,0x0B4,Brake pressure R,Node 1,114478,0,psi_x10,1781309474.646233,114502189
39,179,0x0B3,Brake pressure F,Node 1,114578,0,deg_x10,1781309474.874748,114601835
40,180,0x0B4,Brake pressure R,Node 1,114578,0,psi_x10,1781309474.874748,114601835
41,179,0x0B3,Brake pressure F,Node 1,114678,0,deg_x10,1781309474.874912,114701835
42,180,0x0B4,Brake pressure R,Node 1,114678,0,psi_x10,1781309474.874912,114701835
43,179,0x0B3,Brake pressure F,Node 1,114778,0,deg_x10,1781309474.875523,114801835
44,180,0x0B4,Brake pressure R,Node 1,114778,0,psi_x10,1781309474.875523,114801835
45,179,0x0B3,Brake pressure F,Node 1,114878,0,deg_x10,1781309475.086704,114901837
46,180,0x0B4,Brake pressure R,Node 1,114878,0,psi_x10,1781309475.086704,114901837
47,179,0x0B3,Brake pressure F,Node 1,114978,0,deg_x10,1781309475.167495,115001835
48,180,0x0B4,Brake pressure R,Node 1,114978,0,psi_x10,1781309475.167495,115001835
49,179,0x0B3,Brake pressure F,Node 1,115078,0,deg_x10,1781309475.377241,115101835
50,180,0x0B4,Brake pressure R,Node 1,115078,0,psi_x10,1781309475.377241,115101835
51,179,0x0B3,Brake pressure F,Node 1,115178,0,deg_x10,1781309475.485987,115201835
52,180,0x0B4,Brake pressure R,Node 1,115178,0,psi_x10,1781309475.485987,115201835
