sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,185,0x0B9,Wheel rpm,Node 3,230813,3,rpm,1781221637.763662,254332919
1,185,0x0B9,Wheel rpm,Node 3,230823,3,rpm,1781221637.763662,254332919
2,185,0x0B9,Wheel rpm,Node 3,230836,709,rpm,1781221637.763662,254332919
3,185,0x0B9,Wheel rpm,Node 3,230846,710,rpm,1781221637.763662,254332919
4,185,0x0B9,Wheel rpm,Node 3,230863,3,rpm,1781221637.763662,254332919
5,185,0x0B9,Wheel rpm,Node 3,230876,709,rpm,1781221637.763662,254332919
6,185,0x0B9,Wheel rpm,Node 3,230886,710,rpm,1781221637.763662,254332919
7,185,0x0B9,Wheel rpm,Node 3,230903,3,rpm,1781221637.763662,254332919
8,185,0x0B9,Wheel rpm,Node 3,230913,2,rpm,1781221637.763662,254332919
9,185,0x0B9,Wheel rpm,Node 3,230923,2,rpm,1781221637.763662,254332919
10,185,0x0B9,Wheel rpm,Node 3,230936,711,rpm,1781221637.763662,254332919
11,185,0x0B9,Wheel rpm,Node 3,230946,710,rpm,1781221637.763662,254332919
12,185,0x0B9,Wheel rpm,Node 3,230963,3,rpm,1781221637.763662,254332919
13,185,0x0B9,Wheel rpm,Node 3,230973,3,rpm,1781221637.763662,254332919
14,185,0x0B9,Wheel rpm,Node 3,230986,709,rpm,1781221637.763662,254332919
15,185,0x0B9,Wheel rpm,Node 3,231003,3,rpm,1781221637.763662,254332919
16,185,0x0B9,Wheel rpm,Node 3,231016,709,rpm,1781221637.763662,254332919
17,185,0x0B9,Wheel rpm,Node 3,231033,3,rpm,1781221637.763662,254332919
18,185,0x0B9,Wheel rpm,Node 3,231046,709,rpm,1781221637.763662,254332919
19,185,0x0B9,Wheel rpm,Node 3,231063,3,rpm,1781221637.763662,254332919
20,185,0x0B9,Wheel rpm,Node 3,231073,2,rpm,1781221637.763662,254332919
21,185,0x0B9,Wheel rpm,Node 3,231086,711,rpm,1781221637.763662,254332919
22,185,0x0B9,Wheel rpm,Node 3,231103,2,rpm,1781221637.763662,254332919
23,185,0x0B9,Wheel rpm,Node 3,231116,710,rpm,1781221637.763662,254332919
24,185,0x0B9,Wheel rpm,Node 3,231126,711,rpm,1781221638.057741,254334431
25,185,0x0B9,Wheel rpm,Node 3,231136,711,rpm,1781221638.057741,254334431
26,185,0x0B9,Wheel rpm,Node 3,231153,2,rpm,1781221638.057741,254334431
27,185,0x0B9,Wheel rpm,Node 3,231163,0,rpm,1781221638.057741,254334431
28,185,0x0B9,Wheel rpm,Node 3,231176,710,rpm,1781221638.057741,254334431
29,185,0x0B9,Wheel rpm,Node 3,231193,3,rpm,1781221638.057741,254334431
30,185,0x0B9,Wheel rpm,Node 3,231206,710,rpm,1781221638.057741,254334431
31,185,0x0B9,Wheel rpm,Node 3,231216,709,rpm,1781221638.057741,254334431
32,185,0x0B9,Wheel rpm,Node 3,231233,3,rpm,1781221638.057741,254334431
33,185,0x0B9,Wheel rpm,Node 3,231246,711,rpm,1781221638.057741,254334431
34,185,0x0B9,Wheel rpm,Node 3,231263,3,rpm,1781221638.057741,254334431
35,185,0x0B9,Wheel rpm,Node 3,231276,710,rpm,1781221638.057741,254334431
36,185,0x0B9,Wheel rpm,Node 3,231293,3,rpm,1781221638.057741,254334431
37,185,0x0B9,Wheel rpm,Node 3,231306,709,rpm,1781221638.057741,254334431
38,185,0x0B9,Wheel rpm,Node 3,231316,709,rpm,1781221638.057741,254334431
39,185,0x0B9,Wheel rpm,Node 3,231333,3,rpm,1781221638.057741,254334431
40,185,0x0B9,Wheel rpm,Node 3,231343,4,rpm,1781221638.057741,254334431
41,185,0x0B9,Wheel rpm,Node 3,231356,708,rpm,1781221638.057741,254334431
