sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,512,,1781222378.279397,995062664
1,195,0x0C3,,,0,512,,1781222378.279397,995062664
2,180,0x0B4,Brake pressure R,Node 1,844937,326,psi_x10,1781222228.262581,845037976
3,185,0x0B9,Wheel rpm,Node 3,845035,3,rpm,1781222228.262581,845037976
4,186,0x0BA,Engine rpm,Node 3,845035,0,rpm,1781222228.262581,845037976
5,179,0x0B3,Brake pressure F,Node 1,845037,283,deg_x10,1781222228.262581,845037976
6,180,0x0B4,Brake pressure R,Node 1,845037,350,psi_x10,1781222228.613929,845041839
7,179,0x0B3,Brake pressure F,Node 1,845637,423,deg_x10,1781222228.615784,845673787
8,180,0x0B4,Brake pressure R,Node 1,845637,493,psi_x10,1781222228.615784,845673787
9,185,0x0B9,Wheel rpm,Node 3,845665,3,rpm,1781222228.615784,845673787
10,186,0x0BA,Engine rpm,Node 3,845665,0,rpm,1781222228.615784,845673787
11,179,0x0B3,Brake pressure F,Node 1,846037,442,deg_x10,1781222229.630061,846121974
12,180,0x0B4,Brake pressure R,Node 1,846037,503,psi_x10,1781222229.630061,846121974
13,185,0x0B9,Wheel rpm,Node 3,846115,3,rpm,1781222229.630061,846121974
14,186,0x0BA,Engine rpm,Node 3,846115,0,rpm,1781222229.630061,846121974
15,179,0x0B3,Brake pressure F,Node 1,848237,385,deg_x10,1781222231.047017,848313618
16,180,0x0B4,Brake pressure R,Node 1,848237,467,psi_x10,1781222231.047017,848313618
17,185,0x0B9,Wheel rpm,Node 3,848305,3,rpm,1781222231.047017,848313618
18,186,0x0BA,Engine rpm,Node 3,848305,0,rpm,1781222231.047017,848313618
19,185,0x0B9,Wheel rpm,Node 3,848315,3,rpm,1781222231.196450,848322454
20,186,0x0BA,Engine rpm,Node 3,848315,0,rpm,1781222231.196450,848322454
21,179,0x0B3,Brake pressure F,Node 1,848737,378,deg_x10,1781222231.634412,848763813
22,180,0x0B4,Brake pressure R,Node 1,848737,466,psi_x10,1781222231.634412,848763813
23,186,0x0BA,Engine rpm,Node 3,848755,0,rpm,1781222231.634412,848763813
24,185,0x0B9,Wheel rpm,Node 3,848763,638,rpm,1781222231.634412,848763813
25,179,0x0B3,Brake pressure F,Node 1,849137,294,deg_x10,1781222231.862002,849151974
26,180,0x0B4,Brake pressure R,Node 1,849137,375,psi_x10,1781222231.862002,849151974
27,185,0x0B9,Wheel rpm,Node 3,849145,3,rpm,1781222231.862002,849151974
28,186,0x0BA,Engine rpm,Node 3,849145,0,rpm,1781222231.862002,849151974
29,179,0x0B3,Brake pressure F,Node 1,849237,281,deg_x10,1781222232.009005,849251918
30,180,0x0B4,Brake pressure R,Node 1,849237,340,psi_x10,1781222232.009005,849251918
31,185,0x0B9,Wheel rpm,Node 3,849245,3,rpm,1781222232.009005,849251918
32,186,0x0BA,Engine rpm,Node 3,849245,0,rpm,1781222232.009005,849251918
33,185,0x0B9,Wheel rpm,Node 3,849535,3,rpm,1781222232.668256,849541995
34,186,0x0BA,Engine rpm,Node 3,849535,0,rpm,1781222232.668256,849541995
35,179,0x0B3,Brake pressure F,Node 1,849537,255,deg_x10,1781222232.668256,849541995
36,180,0x0B4,Brake pressure R,Node 1,849537,255,psi_x10,1781222232.668256,849541995
37,185,0x0B9,Wheel rpm,Node 3,849635,3,rpm,1781222232.668478,849641932
38,186,0x0BA,Engine rpm,Node 3,849635,0,rpm,1781222232.668478,849641932
39,179,0x0B3,Brake pressure F,Node 1,849637,248,deg_x10,1781222232.668478,849641932
40,180,0x0B4,Brake pressure R,Node 1,849637,255,psi_x10,1781222232.668478,849641932
41,179,0x0B3,Brake pressure F,Node 1,854036,266,deg_x10,1781222236.993540,854047321
42,180,0x0B4,Brake pressure R,Node 1,854036,327,psi_x10,1781222236.993540,854047321
43,185,0x0B9,Wheel rpm,Node 3,854045,3,rpm,1781222236.993540,854047321
44,186,0x0BA,Engine rpm,Node 3,854045,0,rpm,1781222236.993540,854047321
45,179,0x0B3,Brake pressure F,Node 1,854436,266,deg_x10,1781222237.300796,854485653
46,180,0x0B4,Brake pressure R,Node 1,854436,305,psi_x10,1781222237.300796,854485653
47,185,0x0B9,Wheel rpm,Node 3,854484,3,rpm,1781222237.300796,854485653
48,186,0x0BA,Engine rpm,Node 3,854484,0,rpm,1781222237.300796,854485653
49,179,0x0B3,Brake pressure F,Node 1,854536,268,deg_x10,1781222237.300828,854591920
50,180,0x0B4,Brake pressure R,Node 1,854536,301,psi_x10,1781222237.300828,854591920
51,185,0x0B9,Wheel rpm,Node 3,854584,3,rpm,1781222237.300828,854591920
52,186,0x0BA,Engine rpm,Node 3,854584,0,rpm,1781222237.300828,854591920
53,179,0x0B3,Brake pressure F,Node 1,854836,269,deg_x10,1781222237.797181,854873941
54,180,0x0B4,Brake pressure R,Node 1,854836,307,psi_x10,1781222237.797181,854873941
55,185,0x0B9,Wheel rpm,Node 3,854872,638,rpm,1781222237.797181,854873941
56,186,0x0BA,Engine rpm,Node 3,854872,0,rpm,1781222237.797181,854873941
57,179,0x0B3,Brake pressure F,Node 1,854936,270,deg_x10,1781222237.797209,854971913
58,180,0x0B4,Brake pressure R,Node 1,854936,316,psi_x10,1781222237.797209,854971913
59,185,0x0B9,Wheel rpm,Node 3,854964,2,rpm,1781222237.797209,854971913
60,186,0x0BA,Engine rpm,Node 3,854964,0,rpm,1781222237.797209,854971913
61,179,0x0B3,Brake pressure F,Node 1,855236,272,deg_x10,1781222238.235376,855312985
62,180,0x0B4,Brake pressure R,Node 1,855236,317,psi_x10,1781222238.235376,855312985
63,185,0x0B9,Wheel rpm,Node 3,855304,2,rpm,1781222238.235376,855312985
64,186,0x0BA,Engine rpm,Node 3,855304,0,rpm,1781222238.235376,855312985
65,180,0x0B4,Brake pressure R,Node 1,856036,327,psi_x10,1781222238.964336,856099635
66,185,0x0B9,Wheel rpm,Node 3,856094,3,rpm,1781222238.964336,856099635
67,186,0x0BA,Engine rpm,Node 3,856094,0,rpm,1781222238.964336,856099635
68,179,0x0B3,Brake pressure F,Node 1,856136,279,deg_x10,1781222239.506026,856543357
69,179,0x0B3,Brake pressure F,Node 1,856236,273,deg_x10,1781222239.506026,856543357
70,179,0x0B3,Brake pressure F,Node 1,856336,279,deg_x10,1781222239.506026,856543357
71,179,0x0B3,Brake pressure F,Node 1,856436,279,deg_x10,1781222239.506026,856543357
72,185,0x0B9,Wheel rpm,Node 3,856534,3,rpm,1781222239.341840,856542842
73,186,0x0BA,Engine rpm,Node 3,856534,0,rpm,1781222239.341840,856542842
74,180,0x0B4,Brake pressure R,Node 1,856536,327,psi_x10,1781222239.341840,856542842
75,179,0x0B3,Brake pressure F,Node 1,856536,273,deg_x10,1781222239.506026,856543357
76,179,0x0B3,Brake pressure F,Node 1,856636,280,deg_x10,1781222239.507549,856909730
77,179,0x0B3,Brake pressure F,Node 1,856736,273,deg_x10,1781222239.507549,856909730
78,179,0x0B3,Brake pressure F,Node 1,856836,280,deg_x10,1781222239.507549,856909730
79,180,0x0B4,Brake pressure R,Node 1,856836,329,psi_x10,1781222239.796257,856913894
80,185,0x0B9,Wheel rpm,Node 3,856912,638,rpm,1781222239.796257,856913894
81,186,0x0BA,Engine rpm,Node 3,856912,0,rpm,1781222239.796257,856913894
82,179,0x0B3,Brake pressure F,Node 1,856936,279,deg_x10,1781222239.936075,857349717
83,179,0x0B3,Brake pressure F,Node 1,857036,278,deg_x10,1781222239.936075,857349717
84,179,0x0B3,Brake pressure F,Node 1,857136,270,deg_x10,1781222239.936075,857349717
85,179,0x0B3,Brake pressure F,Node 1,857236,269,deg_x10,1781222239.936075,857349717
86,179,0x0B3,Brake pressure F,Node 1,857336,271,deg_x10,1781222239.936075,857349717
87,179,0x0B3,Brake pressure F,Node 1,857436,270,deg_x10,1781222241.646012,858555974
88,180,0x0B4,Brake pressure R,Node 1,857436,315,psi_x10,1781222241.646012,858555974
89,179,0x0B3,Brake pressure F,Node 1,857536,270,deg_x10,1781222241.646012,858555974
90,180,0x0B4,Brake pressure R,Node 1,857536,316,psi_x10,1781222241.646012,858555974
91,179,0x0B3,Brake pressure F,Node 1,857636,271,deg_x10,1781222241.646012,858555974
92,180,0x0B4,Brake pressure R,Node 1,857636,324,psi_x10,1781222241.646012,858555974
93,179,0x0B3,Brake pressure F,Node 1,857736,278,deg_x10,1781222241.646012,858555974
94,180,0x0B4,Brake pressure R,Node 1,857736,324,psi_x10,1781222241.646012,858555974
95,179,0x0B3,Brake pressure F,Node 1,857836,273,deg_x10,1781222241.646012,858555974
96,180,0x0B4,Brake pressure R,Node 1,857836,338,psi_x10,1781222241.646012,858555974
97,179,0x0B3,Brake pressure F,Node 1,857936,281,deg_x10,1781222241.646012,858555974
98,180,0x0B4,Brake pressure R,Node 1,857936,327,psi_x10,1781222241.646012,858555974
99,179,0x0B3,Brake pressure F,Node 1,858036,279,deg_x10,1781222241.646012,858555974
100,180,0x0B4,Brake pressure R,Node 1,858036,328,psi_x10,1781222241.646012,858555974
101,179,0x0B3,Brake pressure F,Node 1,858136,280,deg_x10,1781222241.646012,858555974
102,180,0x0B4,Brake pressure R,Node 1,858136,327,psi_x10,1781222241.646012,858555974
103,179,0x0B3,Brake pressure F,Node 1,858236,279,deg_x10,1781222241.646012,858555974
104,180,0x0B4,Brake pressure R,Node 1,858236,328,psi_x10,1781222241.646012,858555974
105,179,0x0B3,Brake pressure F,Node 1,858336,280,deg_x10,1781222241.646012,858555974
106,180,0x0B4,Brake pressure R,Node 1,858336,327,psi_x10,1781222241.646012,858555974
107,179,0x0B3,Brake pressure F,Node 1,858436,281,deg_x10,1781222241.646012,858555974
108,180,0x0B4,Brake pressure R,Node 1,858436,328,psi_x10,1781222241.646012,858555974
109,179,0x0B3,Brake pressure F,Node 1,858536,273,deg_x10,1781222241.646012,858555974
110,180,0x0B4,Brake pressure R,Node 1,858536,332,psi_x10,1781222241.646012,858555974
111,185,0x0B9,Wheel rpm,Node 3,858554,3,rpm,1781222241.348238,858555484
112,186,0x0BA,Engine rpm,Node 3,858554,0,rpm,1781222241.348238,858555484
113,179,0x0B3,Brake pressure F,Node 1,858636,273,deg_x10,1781222242.270774,859368520
114,180,0x0B4,Brake pressure R,Node 1,858636,325,psi_x10,1781222242.270774,859368520
115,179,0x0B3,Brake pressure F,Node 1,858736,266,deg_x10,1781222242.270774,859368520
116,180,0x0B4,Brake pressure R,Node 1,858736,302,psi_x10,1781222242.270774,859368520
117,179,0x0B3,Brake pressure F,Node 1,858836,258,deg_x10,1781222242.270774,859368520
118,180,0x0B4,Brake pressure R,Node 1,858836,293,psi_x10,1781222242.270774,859368520
119,179,0x0B3,Brake pressure F,Node 1,858936,258,deg_x10,1781222242.270774,859368520
120,180,0x0B4,Brake pressure R,Node 1,858936,291,psi_x10,1781222242.270774,859368520
121,179,0x0B3,Brake pressure F,Node 1,859036,258,deg_x10,1781222242.270774,859368520
122,180,0x0B4,Brake pressure R,Node 1,859036,290,psi_x10,1781222242.270774,859368520
123,185,0x0B9,Wheel rpm,Node 3,859054,3,rpm,1781222241.945839,859059267
124,186,0x0BA,Engine rpm,Node 3,859054,0,rpm,1781222241.945839,859059267
125,179,0x0B3,Brake pressure F,Node 1,859136,260,deg_x10,1781222242.270774,859368520
126,180,0x0B4,Brake pressure R,Node 1,859136,291,psi_x10,1781222242.270774,859368520
127,179,0x0B3,Brake pressure F,Node 1,859236,259,deg_x10,1781222242.270774,859368520
128,180,0x0B4,Brake pressure R,Node 1,859236,291,psi_x10,1781222242.270774,859368520
129,179,0x0B3,Brake pressure F,Node 1,859336,259,deg_x10,1781222242.270774,859368520
130,180,0x0B4,Brake pressure R,Node 1,859336,291,psi_x10,1781222242.270774,859368520
131,179,0x0B3,Brake pressure F,Node 1,859436,259,deg_x10,1781222242.695806,859810438
132,180,0x0B4,Brake pressure R,Node 1,859436,294,psi_x10,1781222242.695806,859810438
133,179,0x0B3,Brake pressure F,Node 1,859536,260,deg_x10,1781222242.695806,859810438
134,180,0x0B4,Brake pressure R,Node 1,859536,293,psi_x10,1781222242.695806,859810438
135,179,0x0B3,Brake pressure F,Node 1,859636,258,deg_x10,1781222242.695806,859810438
136,180,0x0B4,Brake pressure R,Node 1,859636,291,psi_x10,1781222242.695806,859810438
137,179,0x0B3,Brake pressure F,Node 1,859736,260,deg_x10,1781222242.695806,859810438
138,180,0x0B4,Brake pressure R,Node 1,859736,294,psi_x10,1781222242.695806,859810438
139,185,0x0B9,Wheel rpm,Node 3,859804,3,rpm,1781222242.695152,859809959
140,186,0x0BA,Engine rpm,Node 3,859804,0,rpm,1781222242.695152,859809959
141,179,0x0B3,Brake pressure F,Node 1,859836,261,deg_x10,1781222242.847652,860257557
142,180,0x0B4,Brake pressure R,Node 1,859836,300,psi_x10,1781222242.847652,860257557
143,179,0x0B3,Brake pressure F,Node 1,859936,258,deg_x10,1781222242.847652,860257557
144,180,0x0B4,Brake pressure R,Node 1,859936,293,psi_x10,1781222242.847652,860257557
145,179,0x0B3,Brake pressure F,Node 1,860036,259,deg_x10,1781222242.847652,860257557
146,180,0x0B4,Brake pressure R,Node 1,860036,293,psi_x10,1781222242.847652,860257557
147,179,0x0B3,Brake pressure F,Node 1,860136,260,deg_x10,1781222242.847652,860257557
148,180,0x0B4,Brake pressure R,Node 1,860136,291,psi_x10,1781222242.847652,860257557
149,179,0x0B3,Brake pressure F,Node 1,860236,261,deg_x10,1781222242.847652,860257557
150,180,0x0B4,Brake pressure R,Node 1,860236,293,psi_x10,1781222242.847652,860257557
151,179,0x0B3,Brake pressure F,Node 1,860336,258,deg_x10,1781222256.746525,873909653
152,180,0x0B4,Brake pressure R,Node 1,860336,292,psi_x10,1781222256.746525,873909653
153,179,0x0B3,Brake pressure F,Node 1,860436,258,deg_x10,1781222256.746525,873909653
154,180,0x0B4,Brake pressure R,Node 1,860436,294,psi_x10,1781222256.746525,873909653
155,179,0x0B3,Brake pressure F,Node 1,860536,265,deg_x10,1781222256.746525,873909653
156,180,0x0B4,Brake pressure R,Node 1,860536,291,psi_x10,1781222256.746525,873909653
157,179,0x0B3,Brake pressure F,Node 1,860636,259,deg_x10,1781222256.746525,873909653
158,180,0x0B4,Brake pressure R,Node 1,860636,293,psi_x10,1781222256.746525,873909653
159,179,0x0B3,Brake pressure F,Node 1,860736,263,deg_x10,1781222256.746525,873909653
160,180,0x0B4,Brake pressure R,Node 1,860736,293,psi_x10,1781222256.746525,873909653
161,179,0x0B3,Brake pressure F,Node 1,860836,263,deg_x10,1781222256.746525,873909653
162,180,0x0B4,Brake pressure R,Node 1,860836,293,psi_x10,1781222256.746525,873909653
163,179,0x0B3,Brake pressure F,Node 1,860936,260,deg_x10,1781222256.746525,873909653
164,180,0x0B4,Brake pressure R,Node 1,860936,294,psi_x10,1781222256.746525,873909653
165,179,0x0B3,Brake pressure F,Node 1,861036,261,deg_x10,1781222256.746525,873909653
166,180,0x0B4,Brake pressure R,Node 1,861036,293,psi_x10,1781222256.746525,873909653
167,179,0x0B3,Brake pressure F,Node 1,861136,265,deg_x10,1781222256.746525,873909653
168,180,0x0B4,Brake pressure R,Node 1,861136,293,psi_x10,1781222256.746525,873909653
169,179,0x0B3,Brake pressure F,Node 1,861236,260,deg_x10,1781222256.746525,873909653
170,180,0x0B4,Brake pressure R,Node 1,861236,301,psi_x10,1781222256.746525,873909653
171,179,0x0B3,Brake pressure F,Node 1,861336,259,deg_x10,1781222256.746525,873909653
172,180,0x0B4,Brake pressure R,Node 1,861336,294,psi_x10,1781222256.746525,873909653
173,179,0x0B3,Brake pressure F,Node 1,861436,259,deg_x10,1781222256.746525,873909653
174,180,0x0B4,Brake pressure R,Node 1,861436,293,psi_x10,1781222256.746525,873909653
175,179,0x0B3,Brake pressure F,Node 1,861536,260,deg_x10,1781222257.136380,873911108
176,180,0x0B4,Brake pressure R,Node 1,861536,294,psi_x10,1781222257.136380,873911108
177,179,0x0B3,Brake pressure F,Node 1,861636,266,deg_x10,1781222257.136380,873911108
178,180,0x0B4,Brake pressure R,Node 1,861636,294,psi_x10,1781222257.136380,873911108
179,179,0x0B3,Brake pressure F,Node 1,861736,258,deg_x10,1781222257.136380,873911108
180,180,0x0B4,Brake pressure R,Node 1,861736,293,psi_x10,1781222257.136380,873911108
181,179,0x0B3,Brake pressure F,Node 1,861836,266,deg_x10,1781222257.136380,873911108
182,180,0x0B4,Brake pressure R,Node 1,861836,306,psi_x10,1781222257.136380,873911108
183,179,0x0B3,Brake pressure F,Node 1,861936,266,deg_x10,1781222257.136380,873911108
184,180,0x0B4,Brake pressure R,Node 1,861936,301,psi_x10,1781222257.136380,873911108
185,179,0x0B3,Brake pressure F,Node 1,862036,269,deg_x10,1781222257.136380,873911108
186,180,0x0B4,Brake pressure R,Node 1,862036,301,psi_x10,1781222257.136380,873911108
187,179,0x0B3,Brake pressure F,Node 1,862136,269,deg_x10,1781222257.136380,873911108
188,180,0x0B4,Brake pressure R,Node 1,862136,301,psi_x10,1781222257.136380,873911108
189,179,0x0B3,Brake pressure F,Node 1,862236,268,deg_x10,1781222257.136380,873911108
190,180,0x0B4,Brake pressure R,Node 1,862236,305,psi_x10,1781222257.136380,873911108
191,179,0x0B3,Brake pressure F,Node 1,862336,270,deg_x10,1781222257.136380,873911108
192,180,0x0B4,Brake pressure R,Node 1,862336,306,psi_x10,1781222257.136380,873911108
193,179,0x0B3,Brake pressure F,Node 1,862436,270,deg_x10,1781222257.136380,873911108
194,180,0x0B4,Brake pressure R,Node 1,862436,316,psi_x10,1781222257.136380,873911108
195,179,0x0B3,Brake pressure F,Node 1,862536,272,deg_x10,1781222257.136380,873911108
196,180,0x0B4,Brake pressure R,Node 1,862536,316,psi_x10,1781222257.136380,873911108
197,179,0x0B3,Brake pressure F,Node 1,862636,278,deg_x10,1781222257.136380,873911108
198,180,0x0B4,Brake pressure R,Node 1,862636,326,psi_x10,1781222257.136380,873911108
199,179,0x0B3,Brake pressure F,Node 1,862736,284,deg_x10,1781222257.603507,874321607
200,180,0x0B4,Brake pressure R,Node 1,862736,319,psi_x10,1781222257.603507,874321607
201,179,0x0B3,Brake pressure F,Node 1,862836,280,deg_x10,1781222257.603507,874321607
202,180,0x0B4,Brake pressure R,Node 1,862836,327,psi_x10,1781222257.603507,874321607
203,179,0x0B3,Brake pressure F,Node 1,862936,280,deg_x10,1781222257.603507,874321607
204,180,0x0B4,Brake pressure R,Node 1,862936,327,psi_x10,1781222257.603507,874321607
205,179,0x0B3,Brake pressure F,Node 1,863036,258,deg_x10,1781222257.603507,874321607
206,180,0x0B4,Brake pressure R,Node 1,863036,327,psi_x10,1781222257.603507,874321607
207,179,0x0B3,Brake pressure F,Node 1,863136,278,deg_x10,1781222257.603507,874321607
208,180,0x0B4,Brake pressure R,Node 1,863136,327,psi_x10,1781222257.603507,874321607
209,179,0x0B3,Brake pressure F,Node 1,863236,278,deg_x10,1781222257.603507,874321607
210,180,0x0B4,Brake pressure R,Node 1,863236,327,psi_x10,1781222257.603507,874321607
211,179,0x0B3,Brake pressure F,Node 1,863336,278,deg_x10,1781222257.603507,874321607
212,180,0x0B4,Brake pressure R,Node 1,863336,327,psi_x10,1781222257.603507,874321607
