sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,512,,1781305738.585715,614086758
1,196,0x0C4,,,0,512,,1781305738.585715,614086758
2,179,0x0B3,Brake pressure F,Node 1,534671,0,deg_x10,1781305658.797408,534727674
3,180,0x0B4,Brake pressure R,Node 1,534671,0,psi_x10,1781305658.797408,534727674
4,188,0x0BC,Engine rpm,Node 4,534722,1123,deg_x10,1781305658.797408,534727674
5,179,0x0B3,Brake pressure F,Node 1,534771,0,deg_x10,1781305659.041066,534831859
6,180,0x0B4,Brake pressure R,Node 1,534771,0,psi_x10,1781305659.041066,534831859
7,188,0x0BC,Engine rpm,Node 4,534822,1121,deg_x10,1781305659.041066,534831859
8,179,0x0B3,Brake pressure F,Node 1,534971,0,deg_x10,1781305659.171348,535034477
9,180,0x0B4,Brake pressure R,Node 1,534971,0,psi_x10,1781305659.171348,535034477
10,188,0x0BC,Engine rpm,Node 4,535032,1121,deg_x10,1781305659.171348,535034477
11,179,0x0B3,Brake pressure F,Node 1,535071,0,deg_x10,1781305659.280741,535141858
12,180,0x0B4,Brake pressure R,Node 1,535071,0,psi_x10,1781305659.280741,535141858
13,188,0x0BC,Engine rpm,Node 4,535132,1114,deg_x10,1781305659.280741,535141858
14,179,0x0B3,Brake pressure F,Node 1,535171,0,deg_x10,1781305659.412200,535241860
15,180,0x0B4,Brake pressure R,Node 1,535171,0,psi_x10,1781305659.412200,535241860
16,188,0x0BC,Engine rpm,Node 4,535232,1121,deg_x10,1781305659.412200,535241860
17,179,0x0B3,Brake pressure F,Node 1,535271,0,deg_x10,1781305659.412275,535341859
18,180,0x0B4,Brake pressure R,Node 1,535271,0,psi_x10,1781305659.412275,535341859
19,188,0x0BC,Engine rpm,Node 4,535332,1122,deg_x10,1781305659.412275,535341859
20,179,0x0B3,Brake pressure F,Node 1,535371,0,deg_x10,1781305659.629298,535441859
21,180,0x0B4,Brake pressure R,Node 1,535371,0,psi_x10,1781305659.629298,535441859
22,188,0x0BC,Engine rpm,Node 4,535432,1122,deg_x10,1781305659.629298,535441859
23,179,0x0B3,Brake pressure F,Node 1,535471,0,deg_x10,1781305659.726173,535541859
24,180,0x0B4,Brake pressure R,Node 1,535471,0,psi_x10,1781305659.726173,535541859
25,188,0x0BC,Engine rpm,Node 4,535532,1122,deg_x10,1781305659.726173,535541859
26,179,0x0B3,Brake pressure F,Node 1,535571,0,deg_x10,1781305659.876292,535641859
27,180,0x0B4,Brake pressure R,Node 1,535571,0,psi_x10,1781305659.876292,535641859
28,188,0x0BC,Engine rpm,Node 4,535632,1121,deg_x10,1781305659.876292,535641859
29,179,0x0B3,Brake pressure F,Node 1,535671,0,deg_x10,1781305659.876320,535741859
30,180,0x0B4,Brake pressure R,Node 1,535671,0,psi_x10,1781305659.876320,535741859
31,188,0x0BC,Engine rpm,Node 4,535732,1121,deg_x10,1781305659.876320,535741859
32,179,0x0B3,Brake pressure F,Node 1,535771,0,deg_x10,1781305659.945947,535841859
33,180,0x0B4,Brake pressure R,Node 1,535771,0,psi_x10,1781305659.945947,535841859
34,188,0x0BC,Engine rpm,Node 4,535832,1123,deg_x10,1781305659.945947,535841859
35,179,0x0B3,Brake pressure F,Node 1,535871,0,deg_x10,1781305660.172314,535942581
36,180,0x0B4,Brake pressure R,Node 1,535871,0,psi_x10,1781305660.172314,535942581
37,188,0x0BC,Engine rpm,Node 4,535932,1121,deg_x10,1781305660.172314,535942581
38,179,0x0B3,Brake pressure F,Node 1,535971,0,deg_x10,1781305660.300096,536041859
39,180,0x0B4,Brake pressure R,Node 1,535971,0,psi_x10,1781305660.300096,536041859
40,188,0x0BC,Engine rpm,Node 4,536032,1123,deg_x10,1781305660.300096,536041859
41,179,0x0B3,Brake pressure F,Node 1,536071,0,deg_x10,1781305660.300563,536141859
42,180,0x0B4,Brake pressure R,Node 1,536071,0,psi_x10,1781305660.300563,536141859
43,188,0x0BC,Engine rpm,Node 4,536132,1122,deg_x10,1781305660.300563,536141859
44,179,0x0B3,Brake pressure F,Node 1,536171,0,deg_x10,1781305660.388850,536241859
45,180,0x0B4,Brake pressure R,Node 1,536171,0,psi_x10,1781305660.388850,536241859
46,188,0x0BC,Engine rpm,Node 4,536232,1123,deg_x10,1781305660.388850,536241859
47,179,0x0B3,Brake pressure F,Node 1,536271,0,deg_x10,1781305660.389052,536341859
48,180,0x0B4,Brake pressure R,Node 1,536271,0,psi_x10,1781305660.389052,536341859
49,188,0x0BC,Engine rpm,Node 4,536332,1121,deg_x10,1781305660.389052,536341859
50,179,0x0B3,Brake pressure F,Node 1,536371,0,deg_x10,1781305660.662848,536441859
51,180,0x0B4,Brake pressure R,Node 1,536371,0,psi_x10,1781305660.662848,536441859
52,188,0x0BC,Engine rpm,Node 4,536432,1122,deg_x10,1781305660.662848,536441859
53,179,0x0B3,Brake pressure F,Node 1,536471,0,deg_x10,1781305660.663061,536541859
54,180,0x0B4,Brake pressure R,Node 1,536471,0,psi_x10,1781305660.663061,536541859
55,188,0x0BC,Engine rpm,Node 4,536532,1122,deg_x10,1781305660.663061,536541859
56,179,0x0B3,Brake pressure F,Node 1,536571,0,deg_x10,1781305660.808002,536641859
57,180,0x0B4,Brake pressure R,Node 1,536571,0,psi_x10,1781305660.808002,536641859
58,188,0x0BC,Engine rpm,Node 4,536632,1123,deg_x10,1781305660.808002,536641859
59,179,0x0B3,Brake pressure F,Node 1,536671,0,deg_x10,1781305660.808373,536741859
60,180,0x0B4,Brake pressure R,Node 1,536671,0,psi_x10,1781305660.808373,536741859
61,188,0x0BC,Engine rpm,Node 4,536732,1121,deg_x10,1781305660.808373,536741859
62,179,0x0B3,Brake pressure F,Node 1,536771,0,deg_x10,1781305661.109981,536841858
63,180,0x0B4,Brake pressure R,Node 1,536771,0,psi_x10,1781305661.109981,536841858
64,188,0x0BC,Engine rpm,Node 4,536832,1123,deg_x10,1781305661.109981,536841858
65,179,0x0B3,Brake pressure F,Node 1,536971,0,deg_x10,1781305661.398153,536981879
66,180,0x0B4,Brake pressure R,Node 1,536971,0,psi_x10,1781305661.398153,536981879
67,188,0x0BC,Engine rpm,Node 4,536972,1121,deg_x10,1781305661.398153,536981879
68,179,0x0B3,Brake pressure F,Node 1,537071,0,deg_x10,1781305661.407946,537081859
69,180,0x0B4,Brake pressure R,Node 1,537071,0,psi_x10,1781305661.407946,537081859
70,188,0x0BC,Engine rpm,Node 4,537072,1122,deg_x10,1781305661.407946,537081859
71,179,0x0B3,Brake pressure F,Node 1,537170,0,deg_x10,1781305661.408893,537181859
72,180,0x0B4,Brake pressure R,Node 1,537170,0,psi_x10,1781305661.408893,537181859
73,188,0x0BC,Engine rpm,Node 4,537172,1122,deg_x10,1781305661.408893,537181859
74,179,0x0B3,Brake pressure F,Node 1,537270,0,deg_x10,1781305661.409268,537281859
75,180,0x0B4,Brake pressure R,Node 1,537270,0,psi_x10,1781305661.409268,537281859
76,188,0x0BC,Engine rpm,Node 4,537272,1121,deg_x10,1781305661.409268,537281859
77,179,0x0B3,Brake pressure F,Node 1,537370,0,deg_x10,1781305661.675384,537381861
78,180,0x0B4,Brake pressure R,Node 1,537370,0,psi_x10,1781305661.675384,537381861
79,188,0x0BC,Engine rpm,Node 4,537372,1121,deg_x10,1781305661.675384,537381861
80,179,0x0B3,Brake pressure F,Node 1,537570,0,deg_x10,1781305661.850940,537601927
81,180,0x0B4,Brake pressure R,Node 1,537570,0,psi_x10,1781305661.850940,537601927
82,188,0x0BC,Engine rpm,Node 4,537592,1122,deg_x10,1781305661.850940,537601927
83,179,0x0B3,Brake pressure F,Node 1,537670,0,deg_x10,1781305661.884861,537701889
84,180,0x0B4,Brake pressure R,Node 1,537670,0,psi_x10,1781305661.884861,537701889
85,188,0x0BC,Engine rpm,Node 4,537692,1122,deg_x10,1781305661.884861,537701889
86,179,0x0B3,Brake pressure F,Node 1,537770,0,deg_x10,1781305661.972158,537801890
87,180,0x0B4,Brake pressure R,Node 1,537770,0,psi_x10,1781305661.972158,537801890
88,188,0x0BC,Engine rpm,Node 4,537792,1122,deg_x10,1781305661.972158,537801890
89,179,0x0B3,Brake pressure F,Node 1,538170,0,deg_x10,1781305662.495729,538211957
90,180,0x0B4,Brake pressure R,Node 1,538170,0,psi_x10,1781305662.495729,538211957
91,188,0x0BC,Engine rpm,Node 4,538202,1122,deg_x10,1781305662.495729,538211957
92,179,0x0B3,Brake pressure F,Node 1,538270,0,deg_x10,1781305662.496827,538311859
93,180,0x0B4,Brake pressure R,Node 1,538270,0,psi_x10,1781305662.496827,538311859
94,188,0x0BC,Engine rpm,Node 4,538302,1121,deg_x10,1781305662.496827,538311859
95,179,0x0B3,Brake pressure F,Node 1,538370,0,deg_x10,1781305662.641113,538411859
96,180,0x0B4,Brake pressure R,Node 1,538370,0,psi_x10,1781305662.641113,538411859
97,188,0x0BC,Engine rpm,Node 4,538402,1123,deg_x10,1781305662.641113,538411859
98,179,0x0B3,Brake pressure F,Node 1,538470,0,deg_x10,1781305662.780607,538511859
99,180,0x0B4,Brake pressure R,Node 1,538470,0,psi_x10,1781305662.780607,538511859
100,188,0x0BC,Engine rpm,Node 4,538502,1121,deg_x10,1781305662.780607,538511859
101,179,0x0B3,Brake pressure F,Node 1,538570,0,deg_x10,1781305662.874593,538611900
102,180,0x0B4,Brake pressure R,Node 1,538570,0,psi_x10,1781305662.874593,538611900
103,188,0x0BC,Engine rpm,Node 4,538602,1121,deg_x10,1781305662.874593,538611900
104,179,0x0B3,Brake pressure F,Node 1,538670,0,deg_x10,1781305662.874622,538711860
105,180,0x0B4,Brake pressure R,Node 1,538670,0,psi_x10,1781305662.874622,538711860
106,188,0x0BC,Engine rpm,Node 4,538702,1122,deg_x10,1781305662.874622,538711860
107,179,0x0B3,Brake pressure F,Node 1,538770,0,deg_x10,1781305662.944011,538811859
108,180,0x0B4,Brake pressure R,Node 1,538770,0,psi_x10,1781305662.944011,538811859
109,188,0x0BC,Engine rpm,Node 4,538802,1123,deg_x10,1781305662.944011,538811859
110,179,0x0B3,Brake pressure F,Node 1,538970,0,deg_x10,1781305663.367579,539031894
111,180,0x0B4,Brake pressure R,Node 1,538970,0,psi_x10,1781305663.367579,539031894
112,188,0x0BC,Engine rpm,Node 4,539022,1123,deg_x10,1781305663.367579,539031894
