sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,195,0x0C3,,,0,769,,1781222409.471731,1026631969
1,179,0x0B3,Brake pressure F,Node 1,1026625,150,deg_x10,1781222409.471731,1026631969
2,180,0x0B4,Brake pressure R,Node 1,1026625,130,psi_x10,1781222409.471731,1026631969
3,185,0x0B9,Wheel rpm,Node 3,1026629,663,rpm,1781222409.471731,1026631969
4,186,0x0BA,Engine rpm,Node 3,1026629,0,rpm,1781222409.471731,1026631969
5,179,0x0B3,Brake pressure F,Node 1,1027025,151,deg_x10,1781222410.068299,1027042669
6,180,0x0B4,Brake pressure R,Node 1,1027025,128,psi_x10,1781222410.068299,1027042669
7,185,0x0B9,Wheel rpm,Node 3,1027039,643,rpm,1781222410.068299,1027042669
8,186,0x0BA,Engine rpm,Node 3,1027039,0,rpm,1781222410.068299,1027042669
9,179,0x0B3,Brake pressure F,Node 1,1027125,150,deg_x10,1781222410.068389,1027141933
10,180,0x0B4,Brake pressure R,Node 1,1027125,128,psi_x10,1781222410.068389,1027141933
11,185,0x0B9,Wheel rpm,Node 3,1027139,641,rpm,1781222410.068389,1027141933
12,186,0x0BA,Engine rpm,Node 3,1027139,0,rpm,1781222410.068389,1027141933
13,179,0x0B3,Brake pressure F,Node 1,1027625,151,deg_x10,1781222410.701168,1027633872
14,180,0x0B4,Brake pressure R,Node 1,1027625,124,psi_x10,1781222410.701168,1027633872
15,185,0x0B9,Wheel rpm,Node 3,1027629,643,rpm,1781222410.701168,1027633872
16,186,0x0BA,Engine rpm,Node 3,1027629,0,rpm,1781222410.701168,1027633872
17,185,0x0B9,Wheel rpm,Node 3,1028429,644,rpm,1781222411.684959,1028436202
18,186,0x0BA,Engine rpm,Node 3,1028429,0,rpm,1781222411.684959,1028436202
19,179,0x0B3,Brake pressure F,Node 1,1028525,117,deg_x10,1781222411.980623,1029256974
20,180,0x0B4,Brake pressure R,Node 1,1028525,119,psi_x10,1781222411.980623,1029256974
21,179,0x0B3,Brake pressure F,Node 1,1028625,64,deg_x10,1781222411.980623,1029256974
22,180,0x0B4,Brake pressure R,Node 1,1028625,94,psi_x10,1781222411.980623,1029256974
23,179,0x0B3,Brake pressure F,Node 1,1028725,48,deg_x10,1781222411.980623,1029256974
24,180,0x0B4,Brake pressure R,Node 1,1028725,78,psi_x10,1781222411.980623,1029256974
25,179,0x0B3,Brake pressure F,Node 1,1028825,36,deg_x10,1781222411.980623,1029256974
26,180,0x0B4,Brake pressure R,Node 1,1028825,68,psi_x10,1781222411.980623,1029256974
27,179,0x0B3,Brake pressure F,Node 1,1028925,19,deg_x10,1781222411.980623,1029256974
28,180,0x0B4,Brake pressure R,Node 1,1028925,51,psi_x10,1781222411.980623,1029256974
29,179,0x0B3,Brake pressure F,Node 1,1029025,12,deg_x10,1781222411.980623,1029256974
30,180,0x0B4,Brake pressure R,Node 1,1029025,32,psi_x10,1781222411.980623,1029256974
31,179,0x0B3,Brake pressure F,Node 1,1029125,0,deg_x10,1781222411.980623,1029256974
32,180,0x0B4,Brake pressure R,Node 1,1029125,23,psi_x10,1781222411.980623,1029256974
33,179,0x0B3,Brake pressure F,Node 1,1029225,0,deg_x10,1781222411.980623,1029256974
34,180,0x0B4,Brake pressure R,Node 1,1029225,19,psi_x10,1781222411.980623,1029256974
35,179,0x0B3,Brake pressure F,Node 1,1029325,0,deg_x10,1781222413.343611,1030518406
36,180,0x0B4,Brake pressure R,Node 1,1029325,19,psi_x10,1781222413.343611,1030518406
37,179,0x0B3,Brake pressure F,Node 1,1029425,31,deg_x10,1781222413.343611,1030518406
38,180,0x0B4,Brake pressure R,Node 1,1029425,50,psi_x10,1781222413.343611,1030518406
39,179,0x0B3,Brake pressure F,Node 1,1029525,100,deg_x10,1781222413.343611,1030518406
40,180,0x0B4,Brake pressure R,Node 1,1029525,107,psi_x10,1781222413.343611,1030518406
41,179,0x0B3,Brake pressure F,Node 1,1029625,98,deg_x10,1781222413.343611,1030518406
42,180,0x0B4,Brake pressure R,Node 1,1029625,107,psi_x10,1781222413.343611,1030518406
43,179,0x0B3,Brake pressure F,Node 1,1029725,98,deg_x10,1781222413.343611,1030518406
44,180,0x0B4,Brake pressure R,Node 1,1029725,107,psi_x10,1781222413.343611,1030518406
45,179,0x0B3,Brake pressure F,Node 1,1029825,98,deg_x10,1781222413.343611,1030518406
46,180,0x0B4,Brake pressure R,Node 1,1029825,107,psi_x10,1781222413.343611,1030518406
47,179,0x0B3,Brake pressure F,Node 1,1029925,98,deg_x10,1781222413.343611,1030518406
48,180,0x0B4,Brake pressure R,Node 1,1029925,111,psi_x10,1781222413.343611,1030518406
49,179,0x0B3,Brake pressure F,Node 1,1030025,98,deg_x10,1781222413.343611,1030518406
50,180,0x0B4,Brake pressure R,Node 1,1030025,107,psi_x10,1781222413.343611,1030518406
51,186,0x0BA,Engine rpm,Node 3,1030068,0,rpm,1781222413.016813,1030070141
52,185,0x0B9,Wheel rpm,Node 3,1030069,642,rpm,1781222413.016813,1030070141
53,179,0x0B3,Brake pressure F,Node 1,1030125,98,deg_x10,1781222413.343611,1030518406
54,180,0x0B4,Brake pressure R,Node 1,1030125,107,psi_x10,1781222413.343611,1030518406
55,179,0x0B3,Brake pressure F,Node 1,1030225,98,deg_x10,1781222413.343611,1030518406
56,180,0x0B4,Brake pressure R,Node 1,1030225,106,psi_x10,1781222413.343611,1030518406
57,179,0x0B3,Brake pressure F,Node 1,1030324,97,deg_x10,1781222413.343611,1030518406
58,180,0x0B4,Brake pressure R,Node 1,1030324,106,psi_x10,1781222413.343611,1030518406
59,179,0x0B3,Brake pressure F,Node 1,1030424,98,deg_x10,1781222413.343611,1030518406
60,180,0x0B4,Brake pressure R,Node 1,1030424,111,psi_x10,1781222413.343611,1030518406
61,179,0x0B3,Brake pressure F,Node 1,1030524,98,deg_x10,1781222414.992589,1031505057
62,180,0x0B4,Brake pressure R,Node 1,1030524,107,psi_x10,1781222414.992589,1031505057
63,179,0x0B3,Brake pressure F,Node 1,1030624,98,deg_x10,1781222414.992589,1031505057
64,180,0x0B4,Brake pressure R,Node 1,1030624,109,psi_x10,1781222414.992589,1031505057
65,179,0x0B3,Brake pressure F,Node 1,1030724,97,deg_x10,1781222414.992589,1031505057
66,180,0x0B4,Brake pressure R,Node 1,1030724,111,psi_x10,1781222414.992589,1031505057
67,179,0x0B3,Brake pressure F,Node 1,1030824,98,deg_x10,1781222414.992589,1031505057
68,180,0x0B4,Brake pressure R,Node 1,1030824,106,psi_x10,1781222414.992589,1031505057
69,179,0x0B3,Brake pressure F,Node 1,1030924,97,deg_x10,1781222414.992589,1031505057
70,180,0x0B4,Brake pressure R,Node 1,1030924,107,psi_x10,1781222414.992589,1031505057
