sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,178,0x0B2,gps_speed,master,39452,84.17,km/h,1781124115.328620,39501822
1,178,0x0B2,gps_speed,master,40457,84.01,km/h,1781124116.342321,40501822
2,178,0x0B2,gps_speed,master,41453,84.21,km/h,1781124117.377325,41501822
3,178,0x0B2,gps_speed,master,42457,84.88,km/h,1781124118.399695,42501822
4,178,0x0B2,gps_speed,master,43455,84.93,km/h,1781124119.237449,43501822
5,178,0x0B2,gps_speed,master,44455,85.4,km/h,1781124120.373929,44501823
6,178,0x0B2,gps_speed,master,45456,85.67,km/h,1781124121.619338,45501823
7,178,0x0B2,gps_speed,master,46458,85.93,km/h,1781124122.161940,46501823
8,178,0x0B2,gps_speed,master,47456,86.17,km/h,1781124123.388194,47501823
9,178,0x0B2,gps_speed,master,48461,86.12,km/h,1781124124.275641,48501823
10,178,0x0B2,gps_speed,master,49461,86.03,km/h,1781124125.478958,49501822
11,178,0x0B2,gps_speed,master,50461,85.9,km/h,1781124126.372808,50501822
12,178,0x0B2,gps_speed,master,51457,85.58,km/h,1781124127.570090,51501822
13,178,0x0B2,gps_speed,master,52457,85.28,km/h,1781124128.583055,52501822
14,178,0x0B2,gps_speed,master,53458,84.9,km/h,1781124129.388816,53501823
15,178,0x0B2,gps_speed,master,54458,83.9,km/h,1781124130.342174,54501823
16,178,0x0B2,gps_speed,master,55454,80.86,km/h,1781124131.314519,55501822
17,178,0x0B2,gps_speed,master,56458,82.93,km/h,1781124132.320803,56501822
18,178,0x0B2,gps_speed,master,57458,83.12,km/h,1781124133.344026,57501822
19,178,0x0B2,gps_speed,master,58457,82.82,km/h,1781124134.265009,58501823
20,178,0x0B2,gps_speed,master,59461,82.3,km/h,1781124135.394585,59501822
21,178,0x0B2,gps_speed,master,60481,81.84,km/h,1781124136.426977,60501823
22,178,0x0B2,gps_speed,master,61457,81.32,km/h,1781124137.591563,61501823
23,178,0x0B2,gps_speed,master,62458,80.93,km/h,1781124138.457908,62501823
24,178,0x0B2,gps_speed,master,63459,80.45,km/h,1781124139.246859,63501822
25,178,0x0B2,gps_speed,master,64460,80.41,km/h,1781124140.378176,64501823
26,178,0x0B2,gps_speed,master,65457,80.01,km/h,1781124141.327529,65501822
27,178,0x0B2,gps_speed,master,66456,79.28,km/h,1781124142.349061,66501822
28,178,0x0B2,gps_speed,master,67456,79.62,km/h,1781124143.383224,67501822
29,178,0x0B2,gps_speed,master,68459,80.19,km/h,1781124144.262736,68501822
30,178,0x0B2,gps_speed,master,69462,80.06,km/h,1781124145.473119,69501824
31,178,0x0B2,gps_speed,master,70460,80.8,km/h,1781124146.466736,70501822
32,178,0x0B2,gps_speed,master,71458,81.1,km/h,1781124147.518877,71501822
33,178,0x0B2,gps_speed,master,72458,81.47,km/h,1781124148.466220,72501823
34,178,0x0B2,gps_speed,master,73461,81.78,km/h,1781124149.329936,73501822
35,178,0x0B2,gps_speed,master,74463,81.99,km/h,1781124150.282669,74501822
36,178,0x0B2,gps_speed,master,75461,82.1,km/h,1781124151.174965,75501823
37,178,0x0B2,gps_speed,master,76460,82.01,km/h,1781124152.293774,76501822
38,178,0x0B2,gps_speed,master,77461,82.03,km/h,1781124153.391323,77501823
39,178,0x0B2,gps_speed,master,78459,82.51,km/h,1781124154.262662,78501822
40,178,0x0B2,gps_speed,master,79459,83.1,km/h,1781124155.524576,79501823
41,178,0x0B2,gps_speed,master,80461,83.32,km/h,1781124156.388682,80501822
42,178,0x0B2,gps_speed,master,81460,83.58,km/h,1781124157.451970,81501822
43,178,0x0B2,gps_speed,master,82459,83.14,km/h,1781124158.433291,82501822
44,178,0x0B2,gps_speed,master,83454,83.32,km/h,1781124159.318749,83501822
45,178,0x0B2,gps_speed,master,84459,83.38,km/h,1781124160.350630,84501822
46,178,0x0B2,gps_speed,master,85457,83.23,km/h,1781124161.296022,85501822
47,178,0x0B2,gps_speed,master,86454,83.27,km/h,1781124162.336344,86501823
48,178,0x0B2,gps_speed,master,87455,83.04,km/h,1781124163.350487,87501822
49,178,0x0B2,gps_speed,master,88454,83.1,km/h,1781124164.251556,88501823
50,178,0x0B2,gps_speed,master,89459,83.47,km/h,1781124165.450828,89501823
51,178,0x0B2,gps_speed,master,90460,83.54,km/h,1781124166.467244,90501822
52,178,0x0B2,gps_speed,master,91457,83.38,km/h,1781124167.452168,91501822
53,178,0x0B2,gps_speed,master,92457,83.47,km/h,1781124168.268330,92501823
54,178,0x0B2,gps_speed,master,93459,83.15,km/h,1781124169.353483,93501823
55,178,0x0B2,gps_speed,master,94461,83.6,km/h,1781124170.319737,94501823
56,178,0x0B2,gps_speed,master,95460,84.71,km/h,1781124171.328970,95501822
57,178,0x0B2,gps_speed,master,96462,85.53,km/h,1781124172.369408,96501822
58,178,0x0B2,gps_speed,master,97460,86.38,km/h,1781124173.380298,97501822
