sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,196,0x0C4,,,0,721152,,1781307648.340520,354241849
1,196,0x0C4,,,0,769,,1781307648.911408,354541853
2,179,0x0B3,Brake pressure F,Node 1,117803,0,deg_x10,1781307412.232143,117851857
3,180,0x0B4,Brake pressure R,Node 1,117803,0,psi_x10,1781307412.232143,117851857
4,188,0x0BC,Engine rpm,Node 4,117841,1122,deg_x10,1781307412.232143,117851857
5,179,0x0B3,Brake pressure F,Node 1,118103,0,deg_x10,1781307412.446012,118123799
6,180,0x0B4,Brake pressure R,Node 1,118103,0,psi_x10,1781307412.446012,118123799
7,188,0x0BC,Engine rpm,Node 4,118121,1122,deg_x10,1781307412.446012,118123799
8,179,0x0B3,Brake pressure F,Node 1,118403,0,deg_x10,1781307412.852079,118423910
9,180,0x0B4,Brake pressure R,Node 1,118403,0,psi_x10,1781307412.852079,118423910
10,188,0x0BC,Engine rpm,Node 4,118421,1122,deg_x10,1781307412.852079,118423910
11,179,0x0B3,Brake pressure F,Node 1,118503,0,deg_x10,1781307412.852175,118521910
12,180,0x0B4,Brake pressure R,Node 1,118503,0,psi_x10,1781307412.852175,118521910
13,188,0x0BC,Engine rpm,Node 4,118521,1123,deg_x10,1781307412.852175,118521910
14,179,0x0B3,Brake pressure F,Node 1,118603,0,deg_x10,1781307412.946179,118632344
15,180,0x0B4,Brake pressure R,Node 1,118603,0,psi_x10,1781307412.946179,118632344
16,188,0x0BC,Engine rpm,Node 4,118631,1123,deg_x10,1781307412.946179,118632344
17,179,0x0B3,Brake pressure F,Node 1,118703,0,deg_x10,1781307412.946321,118731889
18,180,0x0B4,Brake pressure R,Node 1,118703,0,psi_x10,1781307412.946321,118731889
19,188,0x0BC,Engine rpm,Node 4,118731,1122,deg_x10,1781307412.946321,118731889
20,179,0x0B3,Brake pressure F,Node 1,118803,0,deg_x10,1781307413.033554,118831889
21,180,0x0B4,Brake pressure R,Node 1,118803,0,psi_x10,1781307413.033554,118831889
22,188,0x0BC,Engine rpm,Node 4,118831,1123,deg_x10,1781307413.033554,118831889
23,179,0x0B3,Brake pressure F,Node 1,118903,0,deg_x10,1781307413.407862,118931877
24,180,0x0B4,Brake pressure R,Node 1,118903,0,psi_x10,1781307413.407862,118931877
25,188,0x0BC,Engine rpm,Node 4,118931,1123,deg_x10,1781307413.407862,118931877
26,179,0x0B3,Brake pressure F,Node 1,119003,0,deg_x10,1781307413.407895,119031868
27,180,0x0B4,Brake pressure R,Node 1,119003,0,psi_x10,1781307413.407895,119031868
28,188,0x0BC,Engine rpm,Node 4,119031,1122,deg_x10,1781307413.407895,119031868
29,179,0x0B3,Brake pressure F,Node 1,119103,0,deg_x10,1781307413.628851,119131859
30,180,0x0B4,Brake pressure R,Node 1,119103,0,psi_x10,1781307413.628851,119131859
31,188,0x0BC,Engine rpm,Node 4,119131,1121,deg_x10,1781307413.628851,119131859
32,179,0x0B3,Brake pressure F,Node 1,119203,0,deg_x10,1781307413.629477,119231859
33,180,0x0B4,Brake pressure R,Node 1,119203,0,psi_x10,1781307413.629477,119231859
34,188,0x0BC,Engine rpm,Node 4,119231,1122,deg_x10,1781307413.629477,119231859
35,179,0x0B3,Brake pressure F,Node 1,119303,0,deg_x10,1781307413.630160,119331859
36,180,0x0B4,Brake pressure R,Node 1,119303,0,psi_x10,1781307413.630160,119331859
37,188,0x0BC,Engine rpm,Node 4,119331,1123,deg_x10,1781307413.630160,119331859
38,179,0x0B3,Brake pressure F,Node 1,119403,0,deg_x10,1781307413.632360,119431859
39,180,0x0B4,Brake pressure R,Node 1,119403,0,psi_x10,1781307413.632360,119431859
40,188,0x0BC,Engine rpm,Node 4,119431,1122,deg_x10,1781307413.632360,119431859
41,179,0x0B3,Brake pressure F,Node 1,119503,0,deg_x10,1781307413.812233,119531859
42,180,0x0B4,Brake pressure R,Node 1,119503,0,psi_x10,1781307413.812233,119531859
43,188,0x0BC,Engine rpm,Node 4,119531,1121,deg_x10,1781307413.812233,119531859
44,179,0x0B3,Brake pressure F,Node 1,119603,0,deg_x10,1781307413.986358,119631859
45,180,0x0B4,Brake pressure R,Node 1,119603,0,psi_x10,1781307413.986358,119631859
46,188,0x0BC,Engine rpm,Node 4,119631,1123,deg_x10,1781307413.986358,119631859
47,179,0x0B3,Brake pressure F,Node 1,119703,0,deg_x10,1781307413.986798,119731859
48,180,0x0B4,Brake pressure R,Node 1,119703,0,psi_x10,1781307413.986798,119731859
49,188,0x0BC,Engine rpm,Node 4,119731,1121,deg_x10,1781307413.986798,119731859
