sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,185,0x0B9,Wheel rpm,Node 3,1138109,632,rpm,1781222521.534182,1138117939
1,186,0x0BA,Engine rpm,Node 3,1138109,0,rpm,1781222521.534182,1138117939
2,179,0x0B3,Brake pressure F,Node 1,1138115,0,deg_x10,1781222521.534182,1138117939
3,180,0x0B4,Brake pressure R,Node 1,1138115,0,psi_x10,1781222521.534182,1138117939
4,179,0x0B3,Brake pressure F,Node 1,1141815,0,deg_x10,1781222525.400443,1141887161
5,180,0x0B4,Brake pressure R,Node 1,1141815,0,psi_x10,1781222525.400443,1141887161
6,185,0x0B9,Wheel rpm,Node 3,1141879,631,rpm,1781222525.400443,1141887161
7,186,0x0BA,Engine rpm,Node 3,1141879,0,rpm,1781222525.400443,1141887161
8,179,0x0B3,Brake pressure F,Node 1,1144715,0,deg_x10,1781222527.351988,1144751923
9,180,0x0B4,Brake pressure R,Node 1,1144715,0,psi_x10,1781222527.351988,1144751923
10,185,0x0B9,Wheel rpm,Node 3,1144749,629,rpm,1781222527.351988,1144751923
11,186,0x0BA,Engine rpm,Node 3,1144749,0,rpm,1781222527.351988,1144751923
12,185,0x0B9,Wheel rpm,Node 3,1144759,631,rpm,1781222527.798937,1144762482
13,186,0x0BA,Engine rpm,Node 3,1144759,0,rpm,1781222527.798937,1144762482
14,179,0x0B3,Brake pressure F,Node 1,1145115,0,deg_x10,1781222527.954145,1145213837
15,180,0x0B4,Brake pressure R,Node 1,1145115,0,psi_x10,1781222527.954145,1145213837
16,185,0x0B9,Wheel rpm,Node 3,1145209,632,rpm,1781222527.954145,1145213837
17,186,0x0BA,Engine rpm,Node 3,1145209,0,rpm,1781222527.954145,1145213837
18,179,0x0B3,Brake pressure F,Node 1,1145215,0,deg_x10,1781222528.153402,1145311949
19,180,0x0B4,Brake pressure R,Node 1,1145215,0,psi_x10,1781222528.153402,1145311949
20,185,0x0B9,Wheel rpm,Node 3,1145309,631,rpm,1781222528.153402,1145311949
21,186,0x0BA,Engine rpm,Node 3,1145309,0,rpm,1781222528.153402,1145311949
22,179,0x0B3,Brake pressure F,Node 1,1145614,0,deg_x10,1781222528.442133,1145662005
23,180,0x0B4,Brake pressure R,Node 1,1145614,0,psi_x10,1781222528.442133,1145662005
24,185,0x0B9,Wheel rpm,Node 3,1145657,3,rpm,1781222528.442133,1145662005
25,186,0x0BA,Engine rpm,Node 3,1145657,0,rpm,1781222528.442133,1145662005
26,179,0x0B3,Brake pressure F,Node 1,1145714,0,deg_x10,1781222528.446607,1145762570
27,180,0x0B4,Brake pressure R,Node 1,1145714,0,psi_x10,1781222528.446607,1145762570
28,185,0x0B9,Wheel rpm,Node 3,1145759,638,rpm,1781222528.446607,1145762570
29,186,0x0BA,Engine rpm,Node 3,1145759,0,rpm,1781222528.446607,1145762570
30,179,0x0B3,Brake pressure F,Node 1,1145914,0,deg_x10,1781222528.748414,1145983377
31,180,0x0B4,Brake pressure R,Node 1,1145914,0,psi_x10,1781222528.748414,1145983377
32,185,0x0B9,Wheel rpm,Node 3,1145979,632,rpm,1781222528.748414,1145983377
33,186,0x0BA,Engine rpm,Node 3,1145979,0,rpm,1781222528.748414,1145983377
34,179,0x0B3,Brake pressure F,Node 1,1146214,0,deg_x10,1781222528.889793,1146312476
35,180,0x0B4,Brake pressure R,Node 1,1146214,0,psi_x10,1781222528.889793,1146312476
36,185,0x0B9,Wheel rpm,Node 3,1146309,631,rpm,1781222528.889793,1146312476
37,186,0x0BA,Engine rpm,Node 3,1146309,0,rpm,1781222528.889793,1146312476
38,179,0x0B3,Brake pressure F,Node 1,1146314,0,deg_x10,1781222529.194289,1146411950
39,180,0x0B4,Brake pressure R,Node 1,1146314,0,psi_x10,1781222529.194289,1146411950
40,185,0x0B9,Wheel rpm,Node 3,1146409,638,rpm,1781222529.194289,1146411950
41,186,0x0BA,Engine rpm,Node 3,1146409,0,rpm,1781222529.194289,1146411950
42,179,0x0B3,Brake pressure F,Node 1,1146514,0,deg_x10,1781222529.195363,1146612006
43,180,0x0B4,Brake pressure R,Node 1,1146514,0,psi_x10,1781222529.195363,1146612006
44,185,0x0B9,Wheel rpm,Node 3,1146609,632,rpm,1781222529.195363,1146612006
45,186,0x0BA,Engine rpm,Node 3,1146609,0,rpm,1781222529.195363,1146612006
46,179,0x0B3,Brake pressure F,Node 1,1146614,0,deg_x10,1781222529.526798,1146711949
47,180,0x0B4,Brake pressure R,Node 1,1146614,0,psi_x10,1781222529.526798,1146711949
48,185,0x0B9,Wheel rpm,Node 3,1146709,631,rpm,1781222529.526798,1146711949
49,186,0x0BA,Engine rpm,Node 3,1146709,0,rpm,1781222529.526798,1146711949
50,179,0x0B3,Brake pressure F,Node 1,1146714,0,deg_x10,1781222529.800544,1146811951
51,180,0x0B4,Brake pressure R,Node 1,1146714,0,psi_x10,1781222529.800544,1146811951
52,185,0x0B9,Wheel rpm,Node 3,1146809,638,rpm,1781222529.800544,1146811951
53,186,0x0BA,Engine rpm,Node 3,1146809,0,rpm,1781222529.800544,1146811951
54,179,0x0B3,Brake pressure F,Node 1,1147614,0,deg_x10,1781222530.670102,1147643560
55,180,0x0B4,Brake pressure R,Node 1,1147614,0,psi_x10,1781222530.670102,1147643560
56,185,0x0B9,Wheel rpm,Node 3,1147639,632,rpm,1781222530.670102,1147643560
57,186,0x0BA,Engine rpm,Node 3,1147639,0,rpm,1781222530.670102,1147643560
58,179,0x0B3,Brake pressure F,Node 1,1148614,0,deg_x10,1781222531.256900,1148669322
59,180,0x0B4,Brake pressure R,Node 1,1148614,0,psi_x10,1781222531.256900,1148669322
60,185,0x0B9,Wheel rpm,Node 3,1148667,3,rpm,1781222531.256900,1148669322
61,186,0x0BA,Engine rpm,Node 3,1148667,0,rpm,1781222531.256900,1148669322
62,185,0x0B9,Wheel rpm,Node 3,1148669,632,rpm,1781222531.256969,1148671823
63,186,0x0BA,Engine rpm,Node 3,1148669,0,rpm,1781222531.256969,1148671823
