sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,185,0x0B9,Wheel rpm,Node 3,421526,823,rpm,1781304420.722560,421612591
1,179,0x0B3,Brake pressure F,Node 1,421605,0,deg_x10,1781304420.722560,421612591
2,180,0x0B4,Brake pressure R,Node 1,421605,0,psi_x10,1781304420.722560,421612591
3,186,0x0BA,Engine rpm,Node 3,421606,0,rpm,1781304420.722560,421612591
4,179,0x0B3,Brake pressure F,Node 1,421805,0,deg_x10,1781304420.880016,421831951
5,180,0x0B4,Brake pressure R,Node 1,421805,0,psi_x10,1781304420.880016,421831951
6,185,0x0B9,Wheel rpm,Node 3,421826,824,rpm,1781304420.880016,421831951
7,186,0x0BA,Engine rpm,Node 3,421826,0,rpm,1781304420.880016,421831951
8,179,0x0B3,Brake pressure F,Node 1,421905,0,deg_x10,1781304421.179284,421931917
9,180,0x0B4,Brake pressure R,Node 1,421905,0,psi_x10,1781304421.179284,421931917
10,185,0x0B9,Wheel rpm,Node 3,421926,817,rpm,1781304421.179284,421931917
11,186,0x0BA,Engine rpm,Node 3,421926,0,rpm,1781304421.179284,421931917
12,179,0x0B3,Brake pressure F,Node 1,422005,0,deg_x10,1781304421.179562,422031909
13,180,0x0B4,Brake pressure R,Node 1,422005,0,psi_x10,1781304421.179562,422031909
14,185,0x0B9,Wheel rpm,Node 3,422026,824,rpm,1781304421.179562,422031909
15,186,0x0BA,Engine rpm,Node 3,422026,0,rpm,1781304421.179562,422031909
16,179,0x0B3,Brake pressure F,Node 1,422105,0,deg_x10,1781304421.179941,422131910
17,180,0x0B4,Brake pressure R,Node 1,422105,0,psi_x10,1781304421.179941,422131910
18,185,0x0B9,Wheel rpm,Node 3,422126,824,rpm,1781304421.179941,422131910
19,186,0x0BA,Engine rpm,Node 3,422126,0,rpm,1781304421.179941,422131910
20,179,0x0B3,Brake pressure F,Node 1,422205,0,deg_x10,1781304421.472283,422231910
21,180,0x0B4,Brake pressure R,Node 1,422205,0,psi_x10,1781304421.472283,422231910
