sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,179,0x0B3,Brake pressure F,Node 1,63000,0,deg_x10,1781223476.342597,63032007
1,180,0x0B4,Brake pressure R,Node 1,63000,0,psi_x10,1781223476.342597,63032007
2,185,0x0B9,Wheel rpm,Node 3,63030,2515,rpm,1781223476.342597,63032007
3,186,0x0BA,Engine rpm,Node 3,63030,0,rpm,1781223476.342597,63032007
4,179,0x0B3,Brake pressure F,Node 1,63100,0,deg_x10,1781223476.620960,63131949
5,180,0x0B4,Brake pressure R,Node 1,63100,0,psi_x10,1781223476.620960,63131949
6,185,0x0B9,Wheel rpm,Node 3,63130,2514,rpm,1781223476.620960,63131949
7,186,0x0BA,Engine rpm,Node 3,63130,0,rpm,1781223476.620960,63131949
8,179,0x0B3,Brake pressure F,Node 1,63400,0,deg_x10,1781223476.666260,63443318
9,180,0x0B4,Brake pressure R,Node 1,63400,0,psi_x10,1781223476.666260,63443318
10,185,0x0B9,Wheel rpm,Node 3,63440,2511,rpm,1781223476.666260,63443318
11,186,0x0BA,Engine rpm,Node 3,63440,0,rpm,1781223476.666260,63443318
12,179,0x0B3,Brake pressure F,Node 1,63500,0,deg_x10,1781223476.667240,63541925
13,180,0x0B4,Brake pressure R,Node 1,63500,0,psi_x10,1781223476.667240,63541925
14,185,0x0B9,Wheel rpm,Node 3,63540,2514,rpm,1781223476.667240,63541925
15,186,0x0BA,Engine rpm,Node 3,63540,0,rpm,1781223476.667240,63541925
16,179,0x0B3,Brake pressure F,Node 1,63800,0,deg_x10,1781223477.166399,63852485
17,180,0x0B4,Brake pressure R,Node 1,63800,0,psi_x10,1781223477.166399,63852485
18,185,0x0B9,Wheel rpm,Node 3,63850,2513,rpm,1781223477.166399,63852485
19,186,0x0BA,Engine rpm,Node 3,63850,0,rpm,1781223477.166399,63852485
20,179,0x0B3,Brake pressure F,Node 1,64200,0,deg_x10,1781223477.222787,64261982
21,180,0x0B4,Brake pressure R,Node 1,64200,0,psi_x10,1781223477.222787,64261982
22,185,0x0B9,Wheel rpm,Node 3,64260,2511,rpm,1781223477.222787,64261982
23,186,0x0BA,Engine rpm,Node 3,64260,0,rpm,1781223477.222787,64261982
24,179,0x0B3,Brake pressure F,Node 1,64300,0,deg_x10,1781223477.422201,64361926
25,180,0x0B4,Brake pressure R,Node 1,64300,0,psi_x10,1781223477.422201,64361926
26,185,0x0B9,Wheel rpm,Node 3,64360,2511,rpm,1781223477.422201,64361926
27,186,0x0BA,Engine rpm,Node 3,64360,0,rpm,1781223477.422201,64361926
28,179,0x0B3,Brake pressure F,Node 1,64600,0,deg_x10,1781223477.748379,64672014
29,180,0x0B4,Brake pressure R,Node 1,64600,0,psi_x10,1781223477.748379,64672014
30,185,0x0B9,Wheel rpm,Node 3,64670,2511,rpm,1781223477.748379,64672014
31,186,0x0BA,Engine rpm,Node 3,64670,0,rpm,1781223477.748379,64672014
32,179,0x0B3,Brake pressure F,Node 1,64700,0,deg_x10,1781223477.748854,64771916
33,180,0x0B4,Brake pressure R,Node 1,64700,0,psi_x10,1781223477.748854,64771916
34,185,0x0B9,Wheel rpm,Node 3,64769,3,rpm,1781223477.748854,64771916
35,186,0x0BA,Engine rpm,Node 3,64769,0,rpm,1781223477.748854,64771916
36,179,0x0B3,Brake pressure F,Node 1,64800,0,deg_x10,1781223477.892097,64871932
37,180,0x0B4,Brake pressure R,Node 1,64800,0,psi_x10,1781223477.892097,64871932
38,185,0x0B9,Wheel rpm,Node 3,64870,2511,rpm,1781223477.892097,64871932
39,186,0x0BA,Engine rpm,Node 3,64870,0,rpm,1781223477.892097,64871932
40,179,0x0B3,Brake pressure F,Node 1,65000,0,deg_x10,1781223478.190064,65081985
41,180,0x0B4,Brake pressure R,Node 1,65000,0,psi_x10,1781223478.190064,65081985
42,185,0x0B9,Wheel rpm,Node 3,65080,2504,rpm,1781223478.190064,65081985
43,186,0x0BA,Engine rpm,Node 3,65080,0,rpm,1781223478.190064,65081985
